ID,TARGET
TEST_00000,2
TEST_00001,0
TEST_00002,0
TEST_00003,0
TEST_00004,0
TEST_00005,1
TEST_00006,2
TEST_00007,0
TEST_00008,0
TEST_00009,2
TEST_00010,2
TEST_00011,2
TEST_00012,0
TEST_00013,1
TEST_00014,2
TEST_00015,0
TEST_00016,0
TEST_00017,2
TEST_00018,0
TEST_00019,1
TEST_00020,0
TEST_00021,0
TEST_00022,0
TEST_00023,2
TEST_00024,1
TEST_00025,0
TEST_00026,2
TEST_00027,1
TEST_00028,1
TEST_00029,0
TEST_00030,2
TEST_00031,0
TEST_00032,2
TEST_00033,0
TEST_00034,0
TEST_00035,2
TEST_00036,1
TEST_00037,1
TEST_00038,1
TEST_00039,0
TEST_00040,0
TEST_00041,2
TEST_00042,2
TEST_00043,2
TEST_00044,1
TEST_00045,0
TEST_00046,1
TEST_00047,0
TEST_00048,0
TEST_00049,1
TEST_00050,0
TEST_00051,1
TEST_00052,0
TEST_00053,0
TEST_00054,0
TEST_00055,0
TEST_00056,0
TEST_00057,0
TEST_00058,0
TEST_00059,1
TEST_00060,0
TEST_00061,0
TEST_00062,0
TEST_00063,0
TEST_00064,0
TEST_00065,0
TEST_00066,2
TEST_00067,0
TEST_00068,0
TEST_00069,0
TEST_00070,2
TEST_00071,2
TEST_00072,0
TEST_00073,0
TEST_00074,0
TEST_00075,0
TEST_00076,1
TEST_00077,0
TEST_00078,0
TEST_00079,2
TEST_00080,0
TEST_00081,0
TEST_00082,1
TEST_00083,1
TEST_00084,2
TEST_00085,0
TEST_00086,0
TEST_00087,1
TEST_00088,0
TEST_00089,2
TEST_00090,0
TEST_00091,0
TEST_00092,0
TEST_00093,0
TEST_00094,1
TEST_00095,2
TEST_00096,0
TEST_00097,1
TEST_00098,0
TEST_00099,0
TEST_00100,1
TEST_00101,0
TEST_00102,0
TEST_00103,2
TEST_00104,0
TEST_00105,1
TEST_00106,0
TEST_00107,0
TEST_00108,1
TEST_00109,1
TEST_00110,2
TEST_00111,0
TEST_00112,1
TEST_00113,1
TEST_00114,2
TEST_00115,0
TEST_00116,1
TEST_00117,0
TEST_00118,0
TEST_00119,0
TEST_00120,1
TEST_00121,0
TEST_00122,0
TEST_00123,1
TEST_00124,0
TEST_00125,1
TEST_00126,2
TEST_00127,0
TEST_00128,2
TEST_00129,0
