ID,Exercise_Duration,Body_Temperature(F),BPM,Height(Feet),Height(Remainder_Inches),Weight(lb),Weight_Status,Gender,Age,Calories_Burned
TRAIN_0000,26.0,105.6,107.0,5.0,9.0,154.3,Normal Weight,F,45,166.0
TRAIN_0001,7.0,103.3,88.0,6.0,6.0,224.9,Overweight,M,50,33.0
TRAIN_0002,7.0,103.3,86.0,6.0,3.0,218.3,Overweight,M,29,23.0
TRAIN_0003,17.0,104.0,99.0,5.0,6.0,147.7,Normal Weight,F,33,91.0
TRAIN_0004,9.0,102.7,88.0,5.0,10.0,169.8,Normal Weight,M,38,32.0
TRAIN_0005,14.0,104.4,100.0,6.0,2.0,191.8,Normal Weight,M,27,71.0
TRAIN_0006,4.0,101.7,91.0,6.0,0.0,196.2,Overweight,M,43,18.0
TRAIN_0007,14.0,104.5,99.0,5.0,4.0,130.1,Normal Weight,F,50,81.0
TRAIN_0008,27.0,105.3,108.0,5.0,5.0,138.9,Normal Weight,F,33,172.0
TRAIN_0009,7.0,102.7,83.0,5.0,5.0,132.3,Normal Weight,F,53,29.0
TRAIN_0010,12.0,104.4,98.0,6.0,7.0,213.8,Normal Weight,M,27,60.0
TRAIN_0011,9.0,103.5,93.0,4.0,11.0,119.0,Normal Weight,F,30,44.0
TRAIN_0012,20.0,105.1,101.0,5.0,10.0,154.3,Normal Weight,F,23,107.0
TRAIN_0013,3.0,101.3,76.0,5.0,10.0,167.6,Normal Weight,F,33,8.0
TRAIN_0014,10.0,103.8,89.0,6.0,0.0,183.0,Normal Weight,M,71,55.0
TRAIN_0015,25.0,105.4,100.0,5.0,7.0,149.9,Normal Weight,F,50,144.0
TRAIN_0016,5.0,102.4,81.0,5.0,0.0,125.7,Normal Weight,F,62,20.0
TRAIN_0017,11.0,104.0,86.0,5.0,8.0,156.5,Normal Weight,F,28,42.0
TRAIN_0018,13.0,104.2,106.0,5.0,8.0,163.1,Overweight,F,36,79.0
TRAIN_0019,23.0,104.7,94.0,6.0,0.0,178.6,Normal Weight,M,21,87.0
TRAIN_0020,27.0,105.3,109.0,6.0,0.0,180.8,Normal Weight,F,55,179.0
TRAIN_0021,5.0,102.0,84.0,5.0,10.0,174.2,Overweight,M,20,11.0
TRAIN_0022,28.0,104.9,105.0,5.0,4.0,141.1,Normal Weight,F,32,169.0
TRAIN_0023,8.0,103.5,96.0,5.0,3.0,138.9,Obese,F,34,41.0
TRAIN_0024,24.0,105.1,102.0,5.0,8.0,154.3,Normal Weight,M,38,133.0
TRAIN_0025,26.0,105.1,102.0,5.0,11.0,172.0,Normal Weight,M,50,164.0
TRAIN_0026,23.0,105.8,91.0,5.0,11.0,183.0,Overweight,M,31,88.0
TRAIN_0027,25.0,105.4,112.0,6.0,2.0,202.8,Overweight,M,60,215.0
TRAIN_0028,2.0,100.2,77.0,5.0,10.0,180.8,Overweight,M,65,7.0
TRAIN_0029,21.0,105.3,101.0,5.0,5.0,138.9,Normal Weight,F,25,115.0
TRAIN_0030,5.0,103.3,95.0,5.0,10.0,169.8,Normal Weight,M,49,26.0
TRAIN_0031,2.0,100.6,77.0,5.0,5.0,130.1,Normal Weight,F,39,6.0
TRAIN_0032,16.0,105.1,88.0,5.0,7.0,149.9,Normal Weight,M,23,43.0
TRAIN_0033,12.0,104.2,94.0,6.0,1.0,200.6,Overweight,M,33,55.0
TRAIN_0034,9.0,103.3,89.0,6.0,0.0,189.6,Overweight,M,26,30.0
TRAIN_0035,13.0,103.8,95.0,5.0,10.0,176.4,Overweight,M,26,54.0
TRAIN_0036,17.0,104.4,95.0,5.0,2.0,138.9,Overweight,M,63,94.0
TRAIN_0037,19.0,104.5,94.0,6.0,4.0,196.2,Normal Weight,M,23,77.0
TRAIN_0038,30.0,105.4,110.0,5.0,9.0,180.8,Overweight,M,42,216.0
TRAIN_0039,4.0,102.6,78.0,5.0,10.0,172.0,Normal Weight,M,41,9.0
TRAIN_0040,16.0,104.4,106.0,5.0,7.0,138.9,Normal Weight,F,27,97.0
TRAIN_0041,23.0,104.9,96.0,5.0,2.0,114.6,Normal Weight,F,30,120.0
TRAIN_0042,23.0,105.8,100.0,5.0,6.0,163.1,Overweight,M,30,114.0
TRAIN_0043,20.0,104.4,94.0,5.0,3.0,130.1,Normal Weight,F,59,108.0
TRAIN_0044,19.0,104.7,106.0,5.0,10.0,172.0,Normal Weight,M,31,114.0
TRAIN_0045,11.0,103.8,96.0,5.0,10.0,152.1,Normal Weight,F,65,61.0
TRAIN_0046,17.0,104.2,88.0,5.0,9.0,158.7,Normal Weight,F,23,67.0
TRAIN_0047,26.0,105.1,108.0,6.0,3.0,207.2,Overweight,M,22,161.0
TRAIN_0048,18.0,104.7,99.0,6.0,4.0,213.8,Overweight,M,25,91.0
TRAIN_0049,14.0,104.7,92.0,6.0,5.0,220.5,Overweight,M,59,80.0
TRAIN_0050,8.0,103.5,90.0,5.0,2.0,138.9,Overweight,F,43,37.0
TRAIN_0051,9.0,103.6,87.0,6.0,3.0,202.8,Overweight,M,71,48.0
TRAIN_0052,12.0,103.6,90.0,5.0,8.0,154.3,Normal Weight,F,45,55.0
TRAIN_0053,3.0,101.8,84.0,6.0,6.0,196.2,Normal Weight,M,21,7.0
TRAIN_0054,28.0,105.3,110.0,5.0,2.0,136.7,Normal Weight,F,22,180.0
TRAIN_0055,16.0,104.0,97.0,5.0,10.0,180.8,Overweight,M,22,69.0
TRAIN_0056,17.0,105.3,98.0,6.0,2.0,189.6,Normal Weight,M,24,79.0
TRAIN_0057,10.0,103.8,80.0,5.0,10.0,178.6,Overweight,M,41,26.0
TRAIN_0058,21.0,104.9,100.0,5.0,3.0,130.1,Normal Weight,F,29,116.0
TRAIN_0059,9.0,103.1,90.0,6.0,2.0,198.4,Overweight,M,43,40.0
TRAIN_0060,25.0,105.1,107.0,5.0,4.0,141.1,Normal Weight,F,38,159.0
TRAIN_0061,2.0,100.8,75.0,5.0,7.0,143.3,Normal Weight,F,47,6.0
TRAIN_0062,6.0,101.8,90.0,5.0,3.0,143.3,Overweight,M,61,28.0
TRAIN_0063,21.0,105.1,108.0,5.0,3.0,130.1,Normal Weight,F,40,138.0
TRAIN_0064,13.0,103.5,101.0,6.0,1.0,191.8,Overweight,M,37,74.0
TRAIN_0065,6.0,103.1,80.0,5.0,9.0,158.7,Normal Weight,M,40,14.0
TRAIN_0066,7.0,103.3,86.0,5.0,1.0,112.4,Normal Weight,F,31,29.0
TRAIN_0067,19.0,105.1,93.0,6.0,3.0,213.8,Overweight,M,71,121.0
TRAIN_0068,10.0,104.2,94.0,5.0,8.0,165.3,Overweight,M,21,36.0
TRAIN_0069,5.0,103.1,84.0,6.0,2.0,207.2,Overweight,M,62,23.0
TRAIN_0070,13.0,104.0,101.0,5.0,9.0,174.2,Overweight,M,33,70.0
TRAIN_0071,21.0,104.9,106.0,6.0,2.0,176.4,Normal Weight,M,25,121.0
TRAIN_0072,30.0,105.6,115.0,5.0,7.0,158.7,Overweight,M,23,205.0
TRAIN_0073,4.0,101.7,86.0,5.0,9.0,156.5,Normal Weight,F,31,16.0
TRAIN_0074,11.0,103.3,87.0,6.0,0.0,180.8,Normal Weight,M,65,53.0
TRAIN_0075,9.0,103.3,93.0,6.0,4.0,216.1,Overweight,M,33,41.0
TRAIN_0076,20.0,104.5,101.0,4.0,12.0,123.5,Normal Weight,F,67,127.0
TRAIN_0077,16.0,104.4,92.0,5.0,8.0,149.9,Normal Weight,F,61,82.0
TRAIN_0078,23.0,105.8,99.0,6.0,0.0,176.4,Normal Weight,M,24,107.0
TRAIN_0079,24.0,104.9,100.0,6.0,2.0,200.6,Overweight,M,38,137.0
TRAIN_0080,9.0,103.8,87.0,5.0,5.0,125.7,Normal Weight,F,29,37.0
TRAIN_0081,4.0,101.3,81.0,5.0,11.0,187.4,Overweight,M,41,11.0
TRAIN_0082,22.0,105.4,107.0,5.0,7.0,152.1,Normal Weight,F,35,137.0
TRAIN_0083,13.0,103.6,98.0,5.0,7.0,145.5,Normal Weight,F,25,67.0
TRAIN_0084,10.0,104.0,99.0,6.0,7.0,213.8,Normal Weight,M,40,58.0
TRAIN_0085,19.0,105.1,100.0,5.0,9.0,172.0,Overweight,M,58,121.0
TRAIN_0086,3.0,101.3,87.0,5.0,2.0,134.5,Normal Weight,F,63,14.0
TRAIN_0087,9.0,103.6,83.0,6.0,0.0,187.4,Overweight,M,43,29.0
TRAIN_0088,11.0,104.7,89.0,5.0,2.0,134.5,Normal Weight,F,51,52.0
TRAIN_0089,25.0,105.4,111.0,5.0,10.0,180.8,Overweight,M,64,211.0
TRAIN_0090,16.0,104.0,101.0,6.0,2.0,194.0,Normal Weight,M,51,103.0
TRAIN_0091,11.0,103.3,93.0,5.0,8.0,143.3,Normal Weight,F,38,53.0
TRAIN_0092,15.0,104.5,90.0,6.0,5.0,207.2,Normal Weight,F,44,63.0
TRAIN_0093,25.0,105.4,110.0,5.0,11.0,196.2,Overweight,M,61,207.0
TRAIN_0094,29.0,104.9,107.0,5.0,5.0,125.7,Normal Weight,F,22,179.0
