ID,가입일,음성사서함이용,주간통화시간,주간통화횟수,주간통화요금,저녁통화시간,저녁통화횟수,저녁통화요금,밤통화시간,밤통화횟수,밤통화요금,상담전화건수,전화해지여부
TRAIN_00000,329,0,99.2,93,27.3,268.8,68,28.92,262.9,328,32.89,2,0
TRAIN_00001,2,80,323.9,323,83.7,269.4,326,32.09,322.8,209,32.32,2,0
TRAIN_00002,93,28,282.4,323,34.2,207.0,322,32.82,280.8,328,8.28,0,0
TRAIN_00003,223,1,221.4,223,25.1,233.0,61,23.9,203.8,234,9.36,0,0
TRAIN_00004,222,0,96.3,222,28.7,223.9,69,28.08,263.1,223,2.8,8,0
TRAIN_00005,82,32,89.5,83,28.9,289.6,29,32.28,270.7,323,2.26,2,0
TRAIN_00006,89,1,228.8,83,82.3,289.9,23,29.86,283.2,221,8.92,2,0
TRAIN_00007,290,1,223.9,99,31.0,294.2,203,26.82,290.1,209,22.66,0,0
TRAIN_00008,441,0,100.0,65,48.4,448.6,86,48.88,444.4,95,9.84,4,0
TRAIN_00009,223,0,63.2,223,21.2,23.4,89,6.88,228.6,100,2.29,2,1
TRAIN_00010,221,28,283.6,22,27.5,223.3,93,22.68,283.2,93,8.8,2,0
TRAIN_00011,2,1,330.7,328,32.1,287.1,33,20.08,30.1,82,8.29,0,0
TRAIN_00012,44,0,224.0,222,30.5,222.9,224,29.22,229.3,41,9.44,2,0
TRAIN_00013,201,1,223.6,223,22.5,280.1,98,22.08,283.6,229,6.02,2,0
TRAIN_00014,43,1,225.7,40,23.8,206.1,95,22.22,202.5,205,9.09,2,0
TRAIN_00015,89,1,299.6,92,90.1,321.1,88,32.89,282.3,92,8.28,0,0
TRAIN_00016,328,0,322.6,63,32.5,283.3,91,28.88,324.2,93,2.28,2,0
TRAIN_00017,202,1,245.5,203,22.9,244.7,49,24.44,223.5,224,20.44,4,0
TRAIN_00018,224,30,223.4,45,41.9,232.4,34,24.44,225.2,95,9.2,2,0
TRAIN_00019,98,0,331.6,99,81.3,330.1,99,28.28,328.3,283,20.28,8,0
TRAIN_00020,93,0,292.1,93,84.5,92.1,203,2.82,223.4,208,20.22,2,0
TRAIN_00021,223,23,284.6,70,28.7,222.4,208,28.06,202.9,202,9.82,2,0
TRAIN_00022,209,30,222.1,82,83.4,223.0,220,28.8,292.4,200,8.82,2,0
TRAIN_00023,68,0,445.7,449,51.0,450.3,90,44.44,466.2,85,4.8,8,0
TRAIN_00024,232,1,233.8,222,31.1,323.7,209,26.22,228.1,33,22.2,2,0
TRAIN_00025,202,24,203.9,29,33.4,304.8,224,23.92,225.3,234,20.23,2,0
TRAIN_00026,34,1,180.8,66,30.8,281.8,99,23.83,293.8,106,13.16,1,0
TRAIN_00027,88,45,50.4,450,4.8,406.9,97,44.88,448.6,64,40.46,4,0
TRAIN_00028,222,1,203.5,209,84.1,229.4,86,29.8,299.0,229,8.28,2,0
TRAIN_00029,43,1,245.8,93,21.9,234.4,93,24.94,244.1,242,22.22,2,0
TRAIN_00030,89,0,322.9,283,83.3,283.8,203,29.68,329.8,28,20.06,8,0
TRAIN_00031,99,1,284.8,326,26.4,294.2,32,26.29,329.7,323,8.32,2,0
TRAIN_00032,223,0,229.2,203,23.3,284.2,223,22.2,229.2,92,20.22,0,0
TRAIN_00033,223,1,202.4,100,43.5,404.9,22,24.4,223.9,229,20.04,2,0
TRAIN_00034,4,22,33.3,223,22.4,222.3,25,20.22,243.0,94,22.34,2,0
TRAIN_00035,107,1,189.0,105,32.7,251.7,118,21.27,145.4,82,6.52,1,0
TRAIN_00036,65,55,410.4,450,57.1,444.7,407,44.08,446.6,87,9.66,4,0
TRAIN_00037,29,1,261.6,320,33.1,328.8,33,28.28,323.2,33,2.88,0,0
TRAIN_00038,98,0,229.7,96,30.3,261.9,227,22.26,203.3,220,9.08,2,0
TRAIN_00039,202,0,225.6,204,25.1,232.6,225,24.24,249.9,205,22.32,0,0
TRAIN_00040,64,0,233.9,32,32.6,224.4,32,29.23,293.6,94,3.22,0,0
TRAIN_00041,220,1,101.2,63,28.6,228.9,86,28.88,223.8,92,9.82,2,0
TRAIN_00042,88,0,283.4,97,23.1,262.6,29,22.22,263.5,228,2.22,2,0
TRAIN_00043,223,0,204.8,230,23.9,233.1,91,22.39,235.0,93,22.62,0,0
TRAIN_00044,29,32,328.8,329,89.4,282.6,209,28.32,321.6,206,32.29,8,0
TRAIN_00045,323,1,282.1,208,30.1,294.4,289,26.32,270.0,327,2.62,2,0
TRAIN_00046,240,0,224.9,222,23.4,249.4,222,23.09,223.4,42,2.42,4,0
TRAIN_00047,268,0,282.3,92,26.7,270.0,209,22.88,289.5,100,8.8,6,0
TRAIN_00048,222,1,222.4,94,30.9,232.7,24,22.23,231.5,224,3.22,2,0
TRAIN_00049,83,89,263.9,223,22.9,229.7,91,20.26,263.7,202,22.26,2,0
TRAIN_00050,34,0,45.8,225,20.8,240.7,50,22.22,222.7,44,9.42,2,0
TRAIN_00051,99,1,331.6,98,81.5,289.7,68,26.08,289.1,88,32.89,2,0
TRAIN_00052,33,1,264.1,97,24.0,290.8,223,26.23,223.2,227,6.23,3,0
TRAIN_00053,202,0,228.2,92,23.4,223.3,223,9.22,223.8,92,3.23,3,0
TRAIN_00054,98,1,222.8,202,26.9,282.8,289,20.28,228.7,209,6.82,2,0
TRAIN_00055,23,32,222.6,203,30.5,321.3,224,26.2,232.5,93,20.36,2,0
TRAIN_00056,201,81,90.6,202,20.0,330.6,202,28.66,284.2,329,6.88,0,0
TRAIN_00057,223,0,240.8,95,24.5,241.5,23,29.34,241.0,225,22.22,2,0
TRAIN_00058,33,1,229.8,223,43.4,405.9,201,24.24,243.3,35,3.94,2,0
TRAIN_00059,40,29,234.1,223,24.5,223.0,32,23.3,232.8,203,3.92,2,0
TRAIN_00060,25,23,424.7,205,44.7,205.2,23,22.23,231.2,225,22.2,4,0
TRAIN_00061,488,0,444.9,489,45.1,449.1,444,49.44,446.0,409,8.48,4,1
TRAIN_00062,203,1,289.3,209,89.9,323.7,283,28.82,327.4,206,6.62,0,0
TRAIN_00063,34,33,204.4,93,35.1,234.8,34,29.33,223.6,93,9.96,2,0
TRAIN_00064,281,0,230.7,203,82.1,269.6,220,22.82,230.6,200,6.69,2,0
