id,count
0,105.28768
1,237.24597
2,71.91898
4,115.01807
5,104.58753
10,146.60881
11,155.89641
12,214.19705
15,81.51523
17,36.346798
18,229.81711
23,221.8075
25,179.78242
26,92.55101
31,207.1706
39,194.3379
40,66.70823
41,141.87834
42,
43,190.27238
51,226.54153
52,77.16143
54,100.638405
60,179.75749
61,200.1609
62,164.66339
63,60.442673
65,151.90692
66,140.24034
68,193.74776
71,68.32441
80,100.54933
82,
94,198.49649
98,215.01239
101,95.08101
102,186.35652
107,109.66865
112,229.3055
113,88.819885
115,
116,176.24907
120,103.26952
121,88.36131
122,234.16484
132,183.72119
143,56.053013
147,
150,79.09992
151,81.007835
152,220.64093
153,105.73892
155,88.58057
156,115.82023
159,208.96095
161,100.00146
163,96.94876
177,187.67172
186,99.63183
188,81.26454
190,96.199974
191,106.13343
192,186.03168
195,222.41063
200,191.51
209,221.46904
210,81.97715
211,239.89064
214,187.05121
215,101.1211
218,162.66121
219,56.372524
222,114.1584
225,74.403595
228,236.11935
236,219.98456
241,92.39509
242,194.35582
243,233.11752
245,87.74094
247,225.6225
251,202.84889
252,98.057724
253,80.36139
254,87.95783
258,219.45367
260,
261,190.69362
265,82.398926
266,215.9693
267,207.95285
269,182.05139
270,
275,159.60182
278,96.022995
279,66.40133
286,122.69994
287,78.47178
288,212.46608
289,190.04916
293,97.3446
294,190.95686
297,
302,122.23015
303,82.167786
304,110.422966
307,151.73073
309,76.38871
311,214.96289
312,136.63583
314,217.29424
315,226.66463
319,202.22658
322,170.5301
323,
325,197.2414
327,216.009
330,77.699196
332,212.0235
333,94.03551
338,169.99362
341,91.04778
345,146.10283
348,173.36894
349,110.75311
350,137.9205
352,
355,62.330685
356,
358,
363,189.6518
369,204.525
371,80.59058
372,207.21013
375,228.59912
380,199.64185
388,96.894615
391,
392,195.73643
393,227.05443
394,101.43111
396,77.23077
401,74.89468
407,62.838486
409,97.34103
410,147.81905
416,128.39017
418,137.67757
420,204.73784
421,217.5468
422,205.78763
424,231.9737
428,204.25331
429,219.91267
431,181.68251
435,18.452017
439,124.656715
441,53.77259
447,91.38975
449,205.91692
451,216.02225
452,97.4936
454,186.79123
458,217.75613
463,189.0273
467,86.41605
470,137.05699
471,169.54784
474,219.26242
478,106.73126
483,121.31131
484,171.52596
485,96.616646
486,182.39203
491,139.38208
494,114.005264
495,200.06021
497,193.76639
499,222.37222
515,154.65073
518,198.76718
521,115.28698
525,
529,212.3487
532,185.64224
534,82.29343
540,91.09666
544,231.78915
547,197.9687
549,104.59222
563,72.02451
564,214.24916
567,125.80969
572,171.54933
577,189.44177
578,232.82747
585,220.31857
588,210.9714
589,185.34348
590,148.9064
592,95.60226
594,138.98201
596,89.00369
598,217.35841
599,194.01723
605,100.873726
606,172.72505
607,205.53516
608,205.58249
609,
610,210.89218
611,120.36968
614,
615,189.26106
616,207.71744
617,172.72624
618,198.6267
624,129.98692
629,199.68245
631,113.25328
633,104.19469
637,94.743416
638,161.21074
643,
644,188.04198
645,81.4899
646,186.0473
648,178.90677
650,91.49231
651,115.5699
652,232.80449
656,173.93626
657,108.41642
659,87.72584
660,179.84442
662,160.50543
665,223.34172
675,
681,176.96884
682,197.5461
685,80.179855
686,214.05438
689,88.380806
696,174.39374
703,195.86867
704,137.99873
705,174.3957
