air_inflow,air_end_temp,out_pressure,motor_current,motor_rpm,motor_temp,motor_vibe,type
1.59,41.0,0.7,20.53,1680.0,58.67,2.93,0
2.97,59.28,0.7,38.4,3142.0,74.91,3.75,0
1.91,45.29,0.7,24.73,2023.0,62.48,3.12,0
2.37,51.33,0.7,30.63,2506.0,67.84,3.39,0
1.9,45.21,0.7,24.65,2017.0,62.41,3.12,0
2.22,49.34,0.7,28.69,2347.0,66.08,3.3,0
2.92,58.7,0.7,37.84,3096.0,74.4,3.72,0
3.23,62.7,0.7,41.75,3416.0,77.96,3.9,0
2.11,47.93,0.7,27.3,2234.0,64.82,3.24,0
2.88,58.08,0.7,37.23,3046.0,73.84,3.69,0
2.46,52.58,0.7,31.85,2606.0,68.96,3.45,0
1.34,37.78,0.7,17.38,1422.0,55.8,2.79,0
2.35,51.09,0.7,30.4,2487.0,67.63,3.38,0
2.57,53.99,0.7,33.23,2719.0,70.21,3.51,0
3.1,60.98,0.7,40.06,3278.0,76.42,3.82,0
2.8,57.1,0.7,36.28,2968.0,72.98,3.65,0
2.03,46.81,0.7,26.22,2145.0,63.83,3.19,0
1.33,37.55,0.7,17.16,1404.0,55.6,2.78,0
2.6,54.36,0.7,33.6,2749.0,70.54,3.53,0
2.0,46.41,0.7,25.83,2113.0,63.48,3.17,0
2.07,47.4,0.7,26.79,2192.0,64.36,3.22,0
1.78,43.58,0.7,23.05,1886.0,60.96,3.05,0
2.9,58.4,0.7,37.55,3072.0,74.13,3.71,0
2.66,55.2,0.7,34.42,2816.0,71.29,3.56,0
1.48,39.56,0.7,19.13,1565.0,57.39,2.87,0
3.08,60.83,0.7,39.92,3266.0,76.29,3.81,0
1.43,38.86,0.7,18.44,1509.0,56.77,2.84,0
2.56,53.85,0.7,33.1,2708.0,70.09,3.5,0
1.54,40.4,0.7,19.95,1632.0,58.13,2.91,0
1.96,45.98,0.7,25.4,2078.0,63.09,3.15,0
1.78,43.53,0.7,23.0,1882.0,60.91,3.05,0
3.02,59.93,0.7,39.04,3194.0,75.49,3.77,0
2.5,53.06,0.7,32.33,2645.0,69.39,3.47,0
1.58,40.96,0.7,20.5,1677.0,58.63,2.93,0
1.74,43.01,0.7,22.5,1841.0,60.46,3.02,0
3.29,63.56,0.7,42.59,3485.0,78.72,3.94,0
1.39,38.43,0.7,18.02,1474.0,56.38,2.82,0
2.45,52.46,0.7,31.74,2597.0,68.86,3.44,0
2.16,48.54,0.7,27.9,2283.0,65.37,3.27,0
2.35,51.1,0.7,30.41,2488.0,67.64,3.38,0
3.17,61.99,0.7,41.05,3359.0,77.32,3.87,0
1.48,39.53,0.7,19.09,1562.0,57.36,2.87,0
2.08,47.51,0.7,26.9,2201.0,64.46,3.22,0
1.27,36.85,0.7,16.48,1348.0,54.98,2.75,0
1.72,42.78,0.7,22.27,1822.0,60.24,3.01,0
3.23,62.69,0.7,41.74,3415.0,77.94,3.9,0
1.63,41.51,0.7,21.03,1721.0,59.12,2.96,0
3.17,61.95,0.7,41.02,3356.0,77.29,3.86,0
1.88,44.88,0.7,24.32,1990.0,62.11,3.11,0
1.91,45.33,0.7,24.76,2026.0,62.51,3.13,0
1.91,45.29,0.7,24.73,2023.0,62.48,3.12,0
3.06,60.48,0.7,39.58,3238.0,75.98,3.8,0
1.29,37.03,0.7,16.65,1362.0,55.13,2.76,0
3.2,62.35,0.7,41.41,3388.0,77.64,3.88,0
1.98,46.16,0.7,25.58,2093.0,63.26,3.16,0
2.88,58.08,0.7,37.23,3046.0,73.84,3.69,0
2.79,56.95,0.7,36.13,2956.0,72.84,3.64,0
1.55,40.54,0.7,20.08,1643.0,58.26,2.91,0
2.9,58.4,0.7,37.55,3072.0,74.13,3.71,0
2.22,49.43,0.7,28.77,2354.0,66.16,3.31,0
1.97,46.01,0.7,25.43,2081.0,63.12,3.16,0
3.17,62.01,0.7,41.08,3361.0,77.34,3.87,0
1.43,38.96,0.7,18.54,1517.0,56.86,2.84,0
1.5,39.88,0.7,19.43,1590.0,57.67,2.88,0
2.61,54.54,0.7,33.77,2763.0,70.7,3.54,0
1.28,36.95,0.7,16.57,1356.0,55.07,2.75,0
