¡ˆ¡°∏Ì,¿œΩ√,∆Ú±’±‚ø¬(°∆C),√÷¿˙±‚ø¬(°∆C),√÷∞Ì±‚ø¬(°∆C),10∫– √÷¥Ÿ ∞≠ºˆ∑Æ(mm),1Ω√∞£ √÷¥Ÿ∞≠ºˆ∑Æ(mm),¿œ∞≠ºˆ∑Æ(mm),√÷¥Î º¯∞£ «≥º”(m/s),√÷¥Î «≥º”(m/s),∆Ú±’ «≥º”(m/s),∆Ú±’ ¿ÃΩΩ¡°ø¬µµ(°∆C),∆Ú±’ ªÛ¥ÎΩ¿µµ(%)
±§¡÷,2021-08-01,28.2,25.7,32.6,1,1,1,6.7,3.8,1.3,25.5,86.3
±§¡÷,2021-08-02,26.9,24.5,30.4,9.1,24.5,45.3,5.9,3.4,0.8,26.2,96.1
±§¡÷,2021-08-03,27,23.3,31.3,1.2,3.7,9.9,6.4,4,1.2,25.1,90.5
±§¡÷,2021-08-04,28.6,23.6,34.2,0,0,0,5.4,3.3,1,24.3,79.5
±§¡÷,2021-08-05,28.8,24.7,33.2,0,0,0,6.2,2.6,0.7,24.5,79.3
±§¡÷,2021-08-06,26.6,20.2,34.5,19.3,57.2,59.4,15.2,5.6,1.5,23.3,85
±§¡÷,2021-08-07,27.8,22.8,34,0,0,0,5.1,2.5,1,23.4,79.1
±§¡÷,2021-08-08,26,22.9,29.9,3.4,5,5,4.4,2.1,0.8,24.3,91
±§¡÷,2021-08-09,27.2,22.7,33,0,0,0,6,2.4,1,23.3,81.3
±§¡÷,2021-08-10,27.6,24.8,32.3,0,0,0,6.8,4.1,1.4,23.7,80.6
±§¡÷,2021-08-11,26.5,22.5,30.9,0,0,0,7.6,4.6,1.7,23.2,83.1
±§¡÷,2021-08-12,26.3,22.8,30.3,0.3,0.6,0.6,4.5,2.7,1,23.3,84.8
±§¡÷,2021-08-13,25.6,22.8,29.5,0.9,2.2,4,6.4,3.3,1.4,23.7,90
±§¡÷,2021-08-14,24.3,22.3,27.9,0.7,2.5,12.8,7.7,4,1.3,22.2,88.9
±§¡÷,2021-08-15,24.7,21.8,30.8,4.5,8.6,13.7,5.5,3.6,0.8,22.1,87.5
±§¡÷,2021-08-16,25.7,21.2,30.4,0,0,0,6.3,3.6,1.4,21.4,79.5
±§¡÷,2021-08-17,25.5,20.4,30.7,7.7,15.6,17.2,6.6,3.8,1.6,20,73.9
±§¡÷,2021-08-18,22.7,20,28.8,16,20.1,22.7,6.7,3.3,0.9,21.4,93.4
±§¡÷,2021-08-19,22.7,20.2,28.3,7.1,16.4,19.2,10,5.6,0.7,20.9,90.6
±§¡÷,2021-08-20,24.8,19.9,29.8,0,0,0,7.4,4,1.4,21.7,84
±§¡÷,2021-08-21,24.5,23.3,25.9,3.5,9.6,19.9,11.4,6.3,2.3,24.1,98
±§¡÷,2021-08-22,25.8,22.4,29.8,0,0,0,5.1,2.8,1.2,23.8,89.5
±§¡÷,2021-08-23,24.1,22.7,26.1,5.6,19.5,30.6,7.4,3.8,1.2,23.8,98.8
±§¡÷,2021-08-24,25.2,22.5,28,7.7,21.6,29.6,15.4,8,2.6,24.9,98.8
±§¡÷,2021-08-25,25.2,23.3,28.7,1.4,4.5,10.7,7.1,4.1,1.4,24.8,97.9
±§¡÷,2021-08-26,26.3,23.1,31.3,0,0,0,5,2.7,1.1,22.7,82.4
±§¡÷,2021-08-27,23.5,21,28.2,2,3,10.6,11.9,7.1,1.8,23.3,98.9
±§¡÷,2021-08-28,25.1,20.6,30.4,0,0,0,4.7,2.5,1,21.9,84.3
±§¡÷,2021-08-29,25.5,23.5,27.7,14.5,19.7,24.6,7.9,4.9,1.4,25,97.8
±§¡÷,2021-08-30,25.5,22.7,29.9,0.7,1.9,1.9,7.2,2.9,0.6,23.7,91
±§¡÷,2021-08-31,26.5,22.9,31,0,0,0,7.6,4.7,1.5,24.4,89.5
