지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),10분 최다 강수량(mm),1시간 최다강수량(mm),일강수량(mm),최대 순간 풍속(m/s),최대 풍속(m/s),평균 풍속(m/s),평균 이슬점온도(°C),평균 상대습도(%)
전주,2021-08-01,27,24.4,32.7,8.6,27.3,43.8,8.2,5.2,1.2,23.5,82.3
전주,2021-08-02,25.9,23.9,28.8,6.5,24.2,40.4,5.4,3.2,1,23.8,88.5
전주,2021-08-03,27.5,23.9,32.2,4.6,4.8,7.1,6.3,3.1,1.2,23.7,80.9
전주,2021-08-04,28.7,24,33.5,2.3,2.6,2.6,6.6,4.3,1.4,23.2,73.5
전주,2021-08-05,28.6,24.4,34.6,0,0,0,6.4,4,1.3,23.1,73.5
전주,2021-08-06,28.1,24.1,34.3,0.9,1,1,11.2,6,1.5,22.9,74.5
전주,2021-08-07,27.6,23.2,32.8,0,0,0,5.3,4,1.3,22.2,73.5
전주,2021-08-08,26.6,24.4,30.2,0,0,0,5.2,3.1,1.1,22.9,81
전주,2021-08-09,27.5,22.4,32.4,0,0,0,6.8,4.4,1.8,21.1,69.5
전주,2021-08-10,27.4,23.7,32,3.6,4.5,4.5,5.7,3.7,1.5,21.9,73
전주,2021-08-11,27.9,22.4,34.1,0,0,0,6.3,3.6,1.4,20.4,66.4
전주,2021-08-12,25.8,22.8,32,0.6,1.5,1.5,7.9,4.2,1.2,21.7,79.6
전주,2021-08-13,26.1,21.6,31.2,0,0,0,4.5,2.8,1,21.4,76.9
전주,2021-08-14,25.3,22.9,29.2,0.4,1.5,2.5,4.8,2.9,1.1,20.6,76.6
전주,2021-08-15,26.5,21.6,32.5,0,0,0,3.7,2.2,1,19.5,67
전주,2021-08-16,26.6,22.9,31,0,0,0,5.9,3.5,1.6,18.5,62.3
전주,2021-08-17,25.9,21.5,30.6,0,0,0,6.9,3.8,1.7,18.5,64.8
전주,2021-08-18,24.3,21.1,29.9,5.3,15.1,16,11.8,4.4,1.1,19.4,75.3
전주,2021-08-19,24,20.6,27.9,20.3,41.4,41.4,9.6,6.2,1.2,19.4,76.4
전주,2021-08-20,26.3,20.9,31.6,0,0,0,7.1,3.6,1.8,19.1,66
전주,2021-08-21,24.5,22.5,27.5,9.9,24.3,55.4,8.7,4.3,2.2,21.9,86.3
전주,2021-08-22,25.7,22.1,29,0,0,0,5.4,3.8,1.6,21.4,78.3
전주,2021-08-23,23.5,21.8,25.1,7,15.9,70.5,4.9,2.9,1.4,22.2,93
전주,2021-08-24,25.3,21.8,29.5,9.1,28.2,70.6,12.8,7.3,2.8,23,87.5
전주,2021-08-25,24.8,23.3,28.3,2.4,3.2,4.8,6,3.2,1.2,22.6,87.9
전주,2021-08-26,26.3,22.9,31.2,0,0,0,4.9,3,1.1,21.8,78.1
전주,2021-08-27,21.7,19.9,24.3,8.5,29.4,57.3,7.9,4.7,1.3,20.7,94.3
전주,2021-08-28,23.6,20.3,29,0.2,0.2,0.2,6,3.2,1.2,20,81.8
전주,2021-08-29,22.7,19.4,27.9,8,20.1,34.8,6.8,3.7,1.2,20.4,87.5
전주,2021-08-30,24.1,21.6,28.9,0,0,0,4.5,2.6,0.9,20.8,82.6
전주,2021-08-31,26.2,22,31.5,0.4,0.4,0.4,6.4,3.6,1,22,79
