2021,시도별,합계:면적 (ha),생산량 (톤),논벼:면적 (ha),10a당 생산량 (kg),생산량 (톤),밭벼:면적 (ha),10a당 생산량 (kg),생산량 (톤)
2021,계,732477,3881601,732070,530,3880312,407,317,1289
2021,서울특별시,187,958,187,512,958,0,0,0
2021,부산광역시,2169,11523,2169,531,11523,0,0,0
2021,대구광역시,2847,14895,2847,523,14895,0,0,0
2021,인천광역시,11747,59550,11747,507,59550,0,220,0
2021,광주광역시,4916,25064,4910,510,25047,6,269,17
2021,대전광역시,1131,6025,1131,533,6025,0,0,0
2021,울산광역시,3793,18837,3793,497,18837,0,0,0
2021,세종특별자치시,3340,18281,3340,547,18281,0,0,0
2021,경기도,74717,382680,74717,512,382680,0,220,0
2021,강원도,28903,155501,28903,538,155501,0,0,0
2021,충청북도,33403,174848,33403,523,174848,0,226,0
2021,충청남도,135399,773013,135398,571,773012,1,226,1
2021,전라북도,114509,593861,114509,519,593861,0,0,0
2021,전라남도,155435,789650,155101,508,788567,334,324,1082
2021,경상북도,95837,518025,95830,541,518007,7,273,19
2021,경상남도,64079,338698,64079,529,338698,0,0,0
2021,제주도,65,189,6,382,21,59,285,168
2022,계,727054,3763700,726654,518,3762610,400,272,1090
2022,서울특별시,173,864,173,498,864,0,0,0
2022,부산광역시,2123,10801,2123,509,10801,0,0,0
2022,대구광역시,2935,15512,2935,529,15512,0,0,0
2022,인천광역시,11331,56176,11331,496,56176,0,0,0
2022,광주광역시,5066,24901,5066,492,24901,0,0,0
2022,대전광역시,1132,5825,1132,514,5825,0,0,0
2022,울산광역시,3710,17772,3710,479,17772,0,0,0
2022,세종특별자치시,3294,17443,3294,530,17443,0,0,0
2022,경기도,73648,366863,73645,498,366857,3,230,6
2022,강원도,28708,143908,28708,501,143908,0,0,0
2022,충청북도,33195,171414,33194,516,171412,1,276,2
2022,충청남도,133978,725273,133978,541,725273,0,0,0
2022,전라북도,113775,621838,113775,547,621838,0,0,0
2022,전라남도,154679,742913,154359,481,742043,320,272,870
2022,경상북도,94757,511392,94746,540,511363,11,257,29
2022,경상남도,64481,330604,64481,513,330604,0,0,0
2022,제주도,70,201,5,378,18,66,278,183
