지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),10분 최다 강수량(mm),1시간 최다강수량(mm),일강수량(mm),최대 순간 풍속(m/s),최대 풍속(m/s),평균 풍속(m/s),평균 이슬점온도(°C),평균 상대습도(%)
165,목포,2022-08-01,26.9,25.5,28.6,4.2,10.1,22.5,13,7.6,4.5,25.3,91.1
165,목포,2022-08-02,28.2,26.1,31.3,0,0,0,8.6,6.6,3.7,25,83.8
165,목포,2022-08-03,28,26.2,30.7,4.6,9.8,11.1,9.3,6.1,2.9,25.8,88.5
165,목포,2022-08-04,28.7,27.1,31.8,,,,7.6,5,2.6,25.5,83.5
165,목포,2022-08-05,28.8,27.2,31.3,.3,.4,.4,8.6,5.7,3.8,25.7,83.9
165,목포,2022-08-06,29,27.4,32.2,,,,6.7,4.9,3,25.7,83
165,목포,2022-08-07,29.2,27.6,32.5,.1,.1,.1,9.5,6.9,3.8,26,83.5
165,목포,2022-08-08,29,27.8,31.6,,,,12.7,9,5.2,24.5,77
165,목포,2022-08-09,29,27.6,31.4,,,,11.4,7.5,5.2,24.3,76.1
165,목포,2022-08-10,28.4,27.3,30.1,,,,11,7.1,5,24.7,80.8
165,목포,2022-08-11,27.6,26.9,28.3,.3,1.3,2.8,9.9,6.4,4,25.5,88.8
165,목포,2022-08-12,27.2,25.8,29.6,1.1,1.5,2.1,6.4,4.4,2,25.3,90.3
165,목포,2022-08-13,27.8,25.6,30.4,0,0,0,9.3,6.5,3.2,25.1,85.8
165,목포,2022-08-14,29,27.4,31.6,,,,12.6,8,5.1,25,79.9
165,목포,2022-08-15,29.3,27.3,32.1,,,,14.9,9.3,6,24.6,76.4
165,목포,2022-08-16,26.4,24.9,28.1,3.7,8.9,22.4,13,10,2.9,25.1,92.9
165,목포,2022-08-17,25.9,24,28.9,.2,.2,.2,7.9,5.5,2.2,23.7,88.1
165,목포,2022-08-18,25.9,23,29.4,,,,5.8,4.3,1.8,20.9,75.6
165,목포,2022-08-19,27.4,23.2,30.5,,,,13,8.8,4.4,24.3,83.6
165,목포,2022-08-20,26,24.6,27.9,10.8,19.5,25.7,14.2,6,3.1,24.6,92.5
165,목포,2022-08-21,26.2,23.9,29.4,,,,6.3,4.2,2.1,22.8,82.5
165,목포,2022-08-22,27,23.2,30.6,,,,8.3,5,2.3,22,76
165,목포,2022-08-23,26.2,24.2,29.1,.5,.5,.5,9.7,6.3,3.1,23.9,87.3
165,목포,2022-08-24,25.2,22.5,28.3,0,0,0,8.1,5.9,2.7,20,74
165,목포,2022-08-25,24.5,21.8,27.3,0,0,0,9.2,6.4,2,19.8,75.8
165,목포,2022-08-26,24.4,22,27.6,0,0,0,9,6.1,2.6,18.4,70.3
165,목포,2022-08-27,23.4,19.8,25.5,,,,12.2,9.8,4.2,16.4,66.1
165,목포,2022-08-28,22.2,18.4,25.9,,,,8.5,5,1.9,14.4,61.9
165,목포,2022-08-29,23.1,20,25.3,,,,6.6,4.9,1.9,18.3,74.5
165,목포,2022-08-30,25.7,23.6,28.9,2,2.9,4.3,8.9,6.1,3.3,22.6,83.3
165,목포,2022-08-31,22.9,21,25.6,.1,.2,.2,12,9.2,5.2,20,84.3
