일시,평균기온(°C),최저기온(°C),최고기온(°C),10분 최다 강수량(mm),1시간 최다강수량(mm),일강수량(mm),최대 순간 풍속(m/s),최대 풍속(m/s),평균 풍속(m/s),평균 이슬점온도(°C),평균 상대습도(%)
2021-08-01,28.3,26.7,31.7,0.6,0.6,0.6,8.2,6,2.9,25.3,84.3
2021-08-02,26.7,24.9,29.4,8.8,13.4,19.2,8.3,5.7,1.9,24.6,88.9
2021-08-03,27.1,24.4,30.7,4.9,10.7,11.8,7.4,5.3,3,24.3,85.6
2021-08-04,28.9,25,32.6,0,0,0,7.1,5.1,2.8,23.3,73.3
2021-08-05,28.9,25.6,32.5,0,0,0,5,4.1,2.2,24,75.1
2021-08-06,28.4,25.3,32.3,0,0,0,11.3,9.1,2.9,23.6,75.9
2021-08-07,27.2,24.3,31.4,0,0,0,8,6.3,3.5,22.8,77.6
2021-08-08,26.4,24.7,29.3,0,0,0,6.3,4.6,2.6,23,82.3
2021-08-09,27.3,24.7,30.8,0,0,0,7.2,5.8,3.1,22.9,78.3
2021-08-10,27.6,25.6,30.7,0,0,0,5.9,4.7,2.1,23.1,77.5
2021-08-11,27.4,23.9,31.2,0,0,0,7.2,5.1,2.4,22,73.5
2021-08-12,26.9,24,30.4,0,0,0,5.9,4.1,2,21.6,73.6
2021-08-13,26.5,24,29,0.6,1.1,1.1,5.4,4.2,2.1,22.2,78.5
2021-08-14,24.3,22.4,27.4,1.1,4.2,14.4,7.2,5.3,2,21.7,86.1
2021-08-15,26,22.6,30,0,0,0,5.7,4.2,1.9,21.4,77.5
2021-08-16,26.4,23.6,29.8,0,0,0,7.1,4.9,2.4,20,68.8
2021-08-17,26.3,23.5,29.5,0,0,0,7.8,6,2.9,20,69.3
2021-08-18,24.4,21.3,28.9,0.4,0.9,0.9,8.6,5.8,2.5,20.2,78.9
2021-08-19,24.3,20.8,28.7,0,0,0,7,5.3,2.4,20.1,78.6
2021-08-20,26.3,22.1,30.1,0,0,0,9.5,6.5,4,21.4,75.8
2021-08-21,25.4,23.5,26.7,7.4,14.9,33.6,16.2,10.7,4,23.1,87.8
2021-08-22,26.2,23.4,28.9,0,0,0,6.2,4.6,2.2,22.7,82.3
2021-08-23,25.9,24.6,28.4,3.3,7.9,10.9,9,6,2.9,24,89.6
2021-08-24,26.3,24.6,27.7,2.2,4.8,8.6,14.6,10.1,4.9,24.4,90
2021-08-25,25.7,23.7,28.5,0.7,2.3,5.3,8.5,6.3,2.9,24.2,92
2021-08-26,26.2,23.7,30.2,0,0,0,6,5.1,2,23.4,85.9
2021-08-27,25.3,22.3,29.5,1.6,4.5,5.5,13.1,9.1,4.3,23.2,89.3
2021-08-28,24.9,21.8,28.8,0.7,0.8,0.9,5.2,3.9,1.9,21.6,83.4
2021-08-29,25.8,24,27.5,0.4,0.6,1.1,9.2,6.5,3.2,23.7,88.6
2021-08-30,24.6,23.2,28.8,8.2,10.5,10.5,12.4,8.6,1.9,22.6,89.4
2021-08-31,26.6,23.1,30.1,0,0,0,6.7,5,2.5,23.5,84.4
2022-08-01,26.9,25.5,28.6,4.2,10.1,22.5,13,7.6,4.5,25.3,91.1
2022-08-02,28.2,26.1,31.3,0,0,0,8.6,6.6,3.7,25,83.8
2022-08-03,28,26.2,30.7,4.6,9.8,11.1,9.3,6.1,2.9,25.8,88.5
2022-08-04,28.7,27.1,31.8,0,0,0,7.6,5,2.6,25.5,83.5
2022-08-05,28.8,27.2,31.3,0.3,0.4,0.4,8.6,5.7,3.8,25.7,83.9
2022-08-06,29,27.4,32.2,0,0,0,6.7,4.9,3,25.7,83
2022-08-07,29.2,27.6,32.5,0.1,0.1,0.1,9.5,6.9,3.8,26,83.5
2022-08-08,29,27.8,31.6,0,0,0,12.7,9,5.2,24.5,77
2022-08-09,29,27.6,31.4,0,0,0,11.4,7.5,5.2,24.3,76.1
2022-08-10,28.4,27.3,30.1,0,0,0,11,7.1,5,24.7,80.8
2022-08-11,27.6,26.9,28.3,0.3,1.3,2.8,9.9,6.4,4,25.5,88.8
2022-08-12,27.2,25.8,29.6,1.1,1.5,2.1,6.4,4.4,2,25.3,90.3
2022-08-13,27.8,25.6,30.4,0,0,0,9.3,6.5,3.2,25.1,85.8
2022-08-14,29,27.4,31.6,0,0,0,12.6,8,5.1,25,79.9
2022-08-15,29.3,27.3,32.1,0,0,0,14.9,9.3,6,24.6,76.4
2022-08-16,26.4,24.9,28.1,3.7,8.9,22.4,13,10,2.9,25.1,92.9
2022-08-17,25.9,24,28.9,0.2,0.2,0.2,7.9,5.5,2.2,23.7,88.1
2022-08-18,25.9,23,29.4,0,0,0,5.8,4.3,1.8,20.9,75.6
2022-08-19,27.4,23.2,30.5,0,0,0,13,8.8,4.4,24.3,83.6
2022-08-20,26,24.6,27.9,10.8,19.5,25.7,14.2,6,3.1,24.6,92.5
2022-08-21,26.2,23.9,29.4,0,0,0,6.3,4.2,2.1,22.8,82.5
2022-08-22,27,23.2,30.6,0,0,0,8.3,5,2.3,22,76
2022-08-23,26.2,24.2,29.1,0.5,0.5,0.5,9.7,6.3,3.1,23.9,87.3
2022-08-24,25.2,22.5,28.3,0,0,0,8.1,5.9,2.7,20,74
2022-08-25,24.5,21.8,27.3,0,0,0,9.2,6.4,2,19.8,75.8
2022-08-26,24.4,22,27.6,0,0,0,9,6.1,2.6,18.4,70.3
2022-08-27,23.4,19.8,25.5,0,0,0,12.2,9.8,4.2,16.4,66.1
2022-08-28,22.2,18.4,25.9,0,0,0,8.5,5,1.9,14.4,61.9
2022-08-29,23.1,20,25.3,0,0,0,6.6,4.9,1.9,18.3,74.5
2022-08-30,25.7,23.6,28.9,2,2.9,4.3,8.9,6.1,3.3,22.6,83.3
2022-08-31,22.9,21,25.6,0.1,0.2,0.2,12,9.2,5.2,20,84.3
