일자,시가,고가,저가,종가,전일비,,등락률,거래량,금액(백만),신용비,개인,기관,외인(수량),외국계,프로그램,외인비
2023/03/27,"33,200","33,600","32,850","33,050",▼,"-150","-0.45","329,643","10,914","0","-1,048","-52,541","0","8,145","30,780","23.41"
2023/03/24,"33,600","33,600","33,000","33,200",▼,"-700","-2.06","359,607","11,936","0.43","97,801","-60,357","-33,393","-5,473","-45,999","23.41"
2023/03/23,"32,950","34,150","32,700","33,900",▲,"600","+1.80","548,858","18,551","0.40","-134,317","23,385","112,727","83,153","76,668","23.43"
2023/03/22,"34,000","34,300","33,250","33,300",▼,"-350","-1.04","430,246","14,475","0.39","105,652","-97,877","-3,850","18,701","-36,447","23.35"
2023/03/21,"33,500","33,950","33,450","33,650",▲,"500","+1.51","257,016","8,646","0.39","-6,109","-7,501","25,265","13,174","7,428","23.35"
2023/03/20,"33,850","34,150","33,150","33,150",▼,"-350","-1.04","280,850","9,430","0.39","47,951","11,663","-59,465","-13,151","-58,959","23.33"
2023/03/17,"33,150","33,700","33,050","33,500",▲,"700","+2.13","491,074","16,425","0.39","-26,599","23,460","4,681","54,986","-42,399","23.38"
2023/03/16,"32,750","33,250","32,500","32,800",▼,"-500","-1.50","545,940","17,918","0.40","54,142","-45,300","31","-13,923","32,132","23.37"
2023/03/15,"33,650","34,000","33,100","33,300",▲,"250","+0.76","448,865","15,069","0.41","14,715","23,469","-37,039","-25,793","-34,429","23.37"
2023/03/14,"34,000","34,000","33,000","33,050",▼,"-1,350","-3.92","519,228","17,250","0.40","87,312","-2,837","-77,046","-100,545","-111,102","23.40"
2023/03/13,"34,100","34,450","33,650","34,400",▲,"150","+0.44","328,609","11,197","0.41","-17,370","-12,846","39,939","29,059","40,160","23.46"
2023/03/10,"34,200","34,600","34,000","34,250",▼,"-450","-1.30","402,906","13,821","0.37","25,874","-23,014","-742","477","-10,788","23.43"
2023/03/09,"34,950","35,350","34,600","34,700",▼,"-100","-0.29","656,947","22,902","0.38","59,344","-110,534","42,943","47,251","73,697","23.43"
2023/03/08,"35,450","35,450","34,250","34,800",▼,"-900","-2.52","747,362","25,972","0.39","54,705","-219,210","167,046","38,273","180,371","23.40"
2023/03/07,"35,800","36,450","35,500","35,700",▼,"-100","-0.28","574,421","20,657","0.35","23,276","-68,073","58,615","-17,788","37,382","23.27"
2023/03/06,"37,450","37,650","35,700","35,800",▼,"-2,300","-6.04","1,150,926","41,492","0.35","425,080","-129,312","-309,196","-244,054","-352,299","23.23"
2023/03/03,"37,500","38,200","37,000","38,100",▲,"850","+2.28","943,506","35,651","0.37","-128,671","-40,148","174,436","182,879","21,351","23.46"
