일자,시가,고가,저가,종가,전일비,,등락률,거래량,금액(백만),신용비,개인,기관,외인(수량),외국계,프로그램,외인비
2023/03/28,"177,100","178,300","175,800","177,100",▲,"1,000","+0.57","339,315","59,949","0","-35,443","-18,936","0","9,057","42,585","30.51"
2023/03/27,"177,700","177,700","174,800","176,100",▼,"-1,600","-0.90","402,749","70,883","0.28","-7,481","-39,073","30,923","49,442","70,430","30.51"
2023/03/24,"180,600","180,600","175,300","177,700",▼,"-2,800","-1.55","649,952","115,088","0.28","210,196","-104,791","-128,659","-53,964","-80,640","30.50"
2023/03/23,"179,300","182,400","178,700","180,500",▲,"200","+0.11","591,091","106,825","0.29","-151,338","59,745","94,918","104,144","133,176","30.56"
2023/03/22,"177,000","180,500","176,700","180,300",▲,"4,500","+2.56","718,542","128,611","0.29","-298,249","123,061","174,276","112,888","169,331","30.52"
2023/03/21,"175,900","176,900","174,800","175,800",▲,"700","+0.40","297,779","52,346","0.29","-46,727","-3,061","88,688","70,387","30,593","30.43"
2023/03/20,"176,500","177,000","174,800","175,100",▼,"-1,500","-0.85","366,357","64,399","0.30","-16,101","16,719","35,985","-2,834","-1,860","30.39"
2023/03/17,"175,200","176,600","173,200","176,600",▲,"2,600","+1.49","507,745","89,010","0.30","-94,868","-35,152","132,670","169,939","94,497","30.37"
2023/03/16,"172,800","174,800","171,800","174,000",▼,"-300","-0.17","392,030","68,077","0.30","-19,471","215","31,984","-2,112","36,550","30.31"
2023/03/15,"172,700","175,500","172,700","174,300",▲,"3,300","+1.93","481,716","83,822","0.29","-94,737","70,078","-37,175","15,217","64,179","30.30"
2023/03/14,"175,200","175,900","170,500","171,000",▼,"-5,000","-2.84","589,581","101,537","0.29","121,133","-7,788","-101,570","-44,062","-106,124","30.31"
2023/03/13,"174,400","176,300","173,500","176,000",▲,"1,000","+0.57","529,759","92,645","0.28","-56,646","30,194","94,212","44,200","-32,189","30.36"
2023/03/10,"174,700","176,700","174,600","175,000",▼,"-1,300","-0.74","443,221","77,697","0.29","14,871","-94,364","-23,174","88,827","-79,857","30.32"
2023/03/09,"176,600","180,400","175,700","176,300",▲,"1,400","+0.80","808,110","143,477","0.29","-142,591","100,184","7,979","33,665","-57,366","30.33"
2023/03/08,"174,300","176,100","174,100","174,900",▼,"-200","-0.11","497,195","87,100","0.28","-66,894","-75,913","133,917","121,195","-15,293","30.32"
2023/03/07,"176,500","177,500","175,100","175,100",▼,"-2,400","-1.35","462,996","81,372","0.29","109,187","-107,080","-6,781","-12,353","-19,543","30.26"
2023/03/06,"177,800","178,500","176,000","177,500",▲,"1,400","+0.80","547,005","97,017","0.28","-66,870","12,389","64,792","35,761","65,404","30.26"
2023/03/03,"177,500","178,200","175,000","176,100",▼,"-2,400","-1.34","549,203","96,941","0.28","55,854","-24,086","-130,189","-46,554","-44,219","30.23"
2023/03/02,"176,500","179,800","176,500","178,500",▲,"2,200","+1.25","747,929","133,448","0.30","-118,588","32,048","100,980","105,157","38,590","30.30"
2023/02/28,"174,100","178,100","174,000","176,300",▲,"3,000","+1.73","824,763","145,827","0.30","-226,689","80,079","149,019","137,244","178,905","30.25"
2023/02/27,"173,100","173,600","170,200","173,300",▼,"-600","-0.35","427,027","73,527","0.30","17,309","20,177","-21,421","-58,730","-18,582","30.18"
2023/02/24,"176,200","177,300","173,800","173,900",▼,"-2,300","-1.31","382,070","66,910","0.30","42,465","-2,963","-30,291","-31,602","25,733","30.19"
2023/02/23,"174,400","178,600","174,300","176,200",▲,"2,000","+1.15","446,435","78,842","0.30","-106,056","-13,922","181,195","89,177","100,872","29.90"
2023/02/22,"175,800","176,900","174,000","174,200",▼,"-4,000","-2.24","432,567","75,812","0.30","78,274","-102,654","24,497","-1,270","29,321","29.82"
2023/02/21,"178,500","179,000","175,500","178,200", ,"0","0","454,862","80,676","0.30","697","-43,843","46,713","46,118","-18,832","29.80"
2023/02/20,"179,400","179,400","176,600","178,200",▼,"-800","-0.45","404,747","72,074","0.30","2,695","47,955","-40,698","-11,957","-43,933","29.78"
2023/02/17,"177,400","179,800","177,000","179,000",▼,"-300","-0.17","457,976","81,826","0.33","-62,241","-54,215","-82,270","137,097","61,983","29.80"
2023/02/16,"173,400","180,000","173,300","179,300",▲,"6,600","+3.82","1,070,527","190,462","0.33","-564,202","223,190","353,099","295,202","349,552","29.84"
