ID,Calories_Burned
TEST_0000,173.98149
TEST_0001,189.0868
TEST_0002,54.089603
TEST_0003,159.202
TEST_0004,218.22119
TEST_0005,173.40459
TEST_0006,98.76509
TEST_0007,43.98739
TEST_0008,79.23986
TEST_0009,58.24431
TEST_0010,121.86493
TEST_0011,55.236305
TEST_0012,13.530496
TEST_0013,171.28156
TEST_0014,228.12856
TEST_0015,13.344604
TEST_0016,99.87313
TEST_0017,129.75473
TEST_0018,158.59851
TEST_0019,6.7039604
TEST_0020,52.05229
TEST_0021,90.527435
TEST_0022,25.669811
TEST_0023,85.777885
TEST_0024,19.746962
TEST_0025,129.58897
TEST_0026,105.29468
TEST_0027,188.73845
TEST_0028,123.460396
TEST_0029,100.679085
TEST_0030,25.88061
TEST_0031,238.32265
TEST_0032,54.82654
TEST_0033,46.704807
TEST_0034,136.30664
TEST_0035,114.37836
TEST_0036,36.89618
TEST_0037,123.17782
TEST_0038,10.297122
TEST_0039,130.07507
TEST_0040,210.87718
TEST_0041,166.69899
TEST_0042,143.41434
TEST_0043,59.08585
TEST_0044,67.61469
TEST_0045,53.64551
TEST_0046,75.022545
TEST_0047,201.10214
TEST_0048,141.38307
TEST_0049,128.95744
TEST_0050,11.477762
TEST_0051,111.15381
TEST_0052,157.98622
TEST_0053,94.42533
TEST_0054,66.10059
TEST_0055,86.89258
TEST_0056,164.61923
TEST_0057,17.4761
TEST_0058,30.530441
TEST_0059,94.91386
TEST_0060,40.097614
TEST_0061,112.87448
TEST_0062,88.845985
TEST_0063,48.88425
TEST_0064,32.934948
TEST_0065,135.1327
TEST_0066,233.90894
TEST_0067,127.64108
TEST_0068,103.634155
TEST_0069,43.81738
TEST_0070,124.72109
TEST_0071,25.128622
TEST_0072,9.082417
TEST_0073,155.62242
TEST_0074,34.042503
TEST_0075,90.91545
TEST_0076,60.722298
TEST_0077,66.17537
TEST_0078,45.32081
TEST_0079,181.28732
TEST_0080,172.36761
TEST_0081,137.43465
TEST_0082,91.096405
TEST_0083,100.989975
TEST_0084,63.69898
TEST_0085,182.56265
TEST_0086,128.2166
TEST_0087,16.91454
TEST_0088,145.03636
TEST_0089,41.905567
TEST_0090,41.94902
TEST_0091,35.818565
TEST_0092,24.969025
TEST_0093,192.33339
TEST_0094,5.5698724
TEST_0095,9.946231
TEST_0096,236.44095
TEST_0097,139.16791
TEST_0098,182.87932
TEST_0099,173.61102
TEST_0100,13.014267
TEST_0101,101.37717
TEST_0102,184.84502
TEST_0103,164.56229
TEST_0104,66.208855
TEST_0105,167.35966
TEST_0106,36.337738
TEST_0107,20.999622
TEST_0108,193.92375
TEST_0109,28.785759
TEST_0110,109.04109
TEST_0111,186.69392
TEST_0112,47.75246
TEST_0113,144.33649
TEST_0114,57.020035
TEST_0115,80.69904
TEST_0116,82.92338
TEST_0117,66.55587
TEST_0118,14.819323
TEST_0119,7.3138485
TEST_0120,189.95227
TEST_0121,50.497326
TEST_0122,43.592785
TEST_0123,18.89358
TEST_0124,32.07971
TEST_0125,99.47152
TEST_0126,46.362514
TEST_0127,56.107372
TEST_0128,105.42299
TEST_0129,76.68293
TEST_0130,60.348984
TEST_0131,188.82245
TEST_0132,68.83537
TEST_0133,132.1118
TEST_0134,107.665184
TEST_0135,71.52851
TEST_0136,73.43634
TEST_0137,66.01576
TEST_0138,173.26567
TEST_0139,22.855062
TEST_0140,120.7171
TEST_0141,16.20513
TEST_0142,111.404785
TEST_0143,41.262817
TEST_0144,11.959713
TEST_0145,33.567535
TEST_0146,165.92986
TEST_0147,82.94861
TEST_0148,117.68733
TEST_0149,86.91888
TEST_0150,41.592262
TEST_0151,78.36383
TEST_0152,69.05743
TEST_0153,19.92051
TEST_0154,91.41523
TEST_0155,56.03474
TEST_0156,130.45456
TEST_0157,39.50708
TEST_0158,200.84534
TEST_0159,42.16498
TEST_0160,129.06924
TEST_0161,101.60191
TEST_0162,115.73996
TEST_0163,139.43297
TEST_0164,53.975986
TEST_0165,33.442326
TEST_0166,41.79934
TEST_0167,132.41922
TEST_0168,202.6624
TEST_0169,109.4536
TEST_0170,72.639534
TEST_0171,74.47794
TEST_0172,5.3830743
TEST_0173,85.58401
TEST_0174,16.085968
TEST_0175,47.587364
TEST_0176,11.661015
TEST_0177,61.90426
TEST_0178,175.50717
TEST_0179,186.40266
TEST_0180,46.80291
TEST_0181,82.86714
TEST_0182,64.8743
TEST_0183,117.471375
TEST_0184,124.59485
TEST_0185,85.16391
TEST_0186,11.588129
TEST_0187,45.677902
TEST_0188,155.26619
TEST_0189,6.4683676
TEST_0190,41.33957
TEST_0191,7.307222
TEST_0192,160.39417
TEST_0193,42.5841
TEST_0194,174.86482
TEST_0195,107.12803
TEST_0196,6.542613
TEST_0197,211.94098
TEST_0198,4.049054
TEST_0199,9.595959
TEST_0200,9.375177
TEST_0201,137.27603
TEST_0202,22.713444
TEST_0203,39.455986
TEST_0204,99.632675
TEST_0205,89.96777
TEST_0206,144.30603
TEST_0207,85.46
TEST_0208,14.762068
TEST_0209,66.03781
TEST_0210,61.45043
TEST_0211,193.93527
TEST_0212,166.26756
