index,quality
0,4
1,3
2,3
3,4
4,4
5,3
6,4
7,4
8,4
9,4
10,3
11,3
12,4
13,4
14,3
15,3
16,3
17,5
18,3
19,3
20,4
21,4
22,3
23,5
24,4
25,3
26,3
27,3
28,3
29,3
30,5
31,4
32,3
33,3
34,3
35,4
36,3
37,3
38,4
39,3
40,4
41,3
42,4
43,4
44,4
45,4
46,3
47,4
48,3
49,4
50,3
51,3
52,4
53,3
54,3
55,4
56,4
57,3
58,3
59,4
60,3
61,3
62,4
63,4
64,4
65,4
66,3
67,3
68,4
69,3
70,3
71,3
72,3
73,3
74,4
75,3
76,4
77,4
78,4
79,4
80,4
81,4
82,3
83,3
84,4
85,3
86,3
87,3
88,4
89,5
90,4
91,4
92,4
93,4
94,4
95,4
96,4
97,4
98,4
99,4
100,3
101,3
102,3
103,3
104,3
105,4
106,4
107,4
108,4
109,3
110,4
111,4
112,4
113,3
114,4
115,4
116,4
117,5
118,5
119,4
120,4
121,3
122,4
123,5
124,4
125,3
126,4
127,4
128,3
129,5
130,3
131,3
132,4
133,3
134,4
135,4
136,4
137,5
138,3
139,3
140,3
141,3
142,4
143,3
144,3
145,3
146,4
147,3
148,5
149,4
150,4
151,5
152,4
153,3
154,4
155,3
156,4
157,4
158,4
159,3
160,3
161,4
162,4
163,4
164,4
165,4
166,3
167,4
168,4
169,3
170,3
171,3
172,4
173,3
174,4
175,3
176,4
177,3
178,3
179,4
180,3
181,3
182,4
183,5
184,3
185,4
186,4
187,4
188,3
189,4
190,4
191,3
192,3
193,4
194,3
195,4
196,5
197,3
198,3
199,3
200,4
201,3
202,3
203,3
204,3
205,3
206,4
207,4
208,4
209,3
210,5
211,3
212,3
213,4
214,4
215,4
216,3
217,4
218,4
219,4
220,4
221,4
222,4
223,4
224,5
225,3
226,4
227,3
228,4
229,3
230,4
231,4
232,4
233,4
234,4
235,3
236,3
237,4
238,4
239,4
240,4
241,4
242,4
243,5
244,4
245,4
246,4
247,4
248,3
249,4
250,3
251,3
252,4
253,5
254,4
255,4
256,4
257,5
258,4
259,4
260,4
261,3
262,3
263,4
264,3
265,3
266,4
267,4
268,4
269,4
270,4
271,3
272,3
273,3
274,4
275,3
276,5
277,4
278,3
279,4
280,4
281,4
282,4
283,3
284,4
285,4
286,4
287,4
288,3
289,4
290,3
291,3
292,3
293,4
294,3
295,4
296,4
297,4
298,3
299,5
300,4
301,4
302,3
303,3
304,4
305,3
306,3
307,4
308,3
309,3
310,3
311,3
312,4
313,3
314,4
315,4
316,3
317,3
318,4
319,4
320,3
321,3
322,3
323,3
324,3
325,3
326,3
327,4
328,5
329,3
330,3
331,4
332,4
333,3
334,3
335,4
336,3
337,4
338,4
339,3
340,4
341,4
342,4
343,4
344,3
345,4
346,4
347,4
348,3
349,3
350,3
351,3
352,3
353,4
354,4
355,3
356,4
357,3
358,4
359,4
360,3
361,3
362,3
363,5
364,5
365,4
366,3
367,3
368,5
369,4
370,4
371,3
372,3
373,4
374,4
375,3
376,3
377,4
378,4
379,4
380,4
381,4
382,5
383,4
384,3
385,4
386,4
387,3
388,4
389,3
390,5
391,3
392,4
393,3
394,3
395,3
396,4
397,4
398,5
399,3
400,5
401,3
402,4
403,4
404,4
405,3
406,4
407,3
408,4
409,3
410,4
411,3
412,3
413,3
414,3
415,4
416,3
417,4
418,3
419,3
420,4
421,4
422,3
423,4
424,3
425,4
426,4
427,4
428,3
429,4
430,4
431,3
432,3
433,4
434,5
435,3
436,4
437,3
438,3
439,3
440,3
441,4
442,4
443,4
444,4
445,4
446,3
447,3
448,3
449,4
450,4
451,4
452,3
453,4
454,4
455,3
456,5
457,3
458,4
459,3
460,4
461,4
462,4
463,3
464,3
465,3
466,4
467,3
468,4
469,3
470,3
471,3
472,3
473,3
474,3
475,4
476,5
477,4
478,4
479,4
480,4
481,5
482,4
483,3
484,4
485,3
486,4
487,4
488,3
489,4
490,4
491,4
492,3
493,5
494,3
495,4
496,4
497,3
498,5
499,4
500,4
501,4
502,4
503,5
504,3
505,4
506,4
507,3
508,4
509,4
510,3
511,3
512,4
513,3
514,4
515,3
516,3
517,5
518,4
519,3
520,3
521,4
522,3
523,4
524,4
525,3
526,5
527,4
528,4
529,4
530,3
531,4
532,4
533,4
534,4
535,4
536,4
537,4
538,3
539,3
540,3
541,3
542,5
543,4
544,4
545,4
546,4
547,3
548,3
549,4
550,4
551,4
552,4
553,4
554,3
555,4
556,3
557,3
558,3
559,4
560,3
561,3
562,3
563,3
564,4
565,4
566,4
567,5
568,4
569,3
570,4
571,3
572,3
573,4
574,4
575,3
576,4
577,3
578,3
579,3
580,4
581,4
582,3
583,3
584,4
585,4
586,4
587,5
588,3
589,4
590,5
591,3
592,4
593,4
594,3
595,3
596,3
597,4
598,3
599,4
600,4
601,4
602,4
603,4
604,3
605,4
606,3
607,3
608,5
609,3
610,4
611,3
612,4
613,4
614,4
615,4
616,3
617,4
618,4
619,4
620,4
621,3
622,4
623,4
624,3
625,4
626,3
627,4
628,3
629,3
630,3
631,3
632,4
633,3
634,4
635,4
636,3
637,4
638,4
639,3
640,3
641,4
642,4
643,3
644,4
645,4
646,4
647,3
648,4
649,3
650,4
651,3
652,4
653,4
654,4
655,3
656,5
657,4
658,4
659,3
660,5
661,3
662,4
663,3
664,4
665,4
666,4
667,3
668,4
669,3
670,4
671,4
672,3
673,4
674,4
675,3
676,3
677,3
678,4
679,4
680,4
681,3
682,5
683,3
684,4
685,4
686,4
687,4
688,3
689,4
690,5
691,3
692,3
693,4
694,4
695,4
696,3
697,4
698,3
699,3
700,4
701,3
702,4
703,4
704,3
705,3
706,3
707,4
708,3
709,3
710,3
711,3
712,5
713,4
714,4
715,4
716,3
717,4
718,3
719,4
720,4
721,4
722,4
723,4
724,4
725,4
726,4
727,3
728,4
729,4
730,3
731,4
732,3
733,3
734,4
735,4
736,3
737,4
738,4
739,3
740,3
741,3
742,4
743,3
744,3
745,3
746,4
747,3
748,3
749,3
750,4
751,3
752,3
753,3
754,3
755,5
756,3
757,4
758,3
759,4
760,3
761,3
762,4
763,5
764,4
765,4
766,3
767,4
768,3
769,5
770,3
771,4
772,4
773,3
774,4
775,4
776,4
777,4
778,4
779,3
780,4
781,3
782,3
783,4
784,3
785,3
786,3
787,3
788,3
789,4
790,4
791,4
792,4
793,4
794,4
795,3
796,4
797,3
798,3
799,3
800,3
801,3
802,4
803,4
804,3
805,4
806,3
807,4
808,5
809,4
810,4
811,4
812,4
813,4
814,5
815,3
816,3
817,5
818,3
819,3
820,4
821,3
822,3
823,3
824,4
825,4
826,4
827,3
828,4
829,5
830,3
831,4
832,5
833,3
834,4
835,4
836,4
837,5
838,4
839,3
840,3
841,3
842,4
843,3
844,4
845,3
846,4
847,5
848,4
849,4
850,3
851,4
852,4
853,4
854,3
855,3
856,4
857,4
858,3
859,3
860,3
861,4
862,3
863,3
864,3
865,4
866,3
867,4
868,4
869,4
870,5
871,5
872,4
873,4
874,3
875,3
876,3
877,4
878,4
879,3
880,3
881,4
882,3
883,3
884,3
885,4
886,4
887,4
888,4
889,3
890,3
891,4
892,4
893,4
894,3
895,3
896,3
897,4
898,4
899,4
900,4
901,4
902,3
903,5
904,3
905,4
906,3
907,4
908,3
909,4
910,4
911,3
912,3
913,4
914,3
915,4
916,4
917,4
918,4
919,3
920,4
921,3
922,4
923,4
924,4
925,4
926,4
927,3
928,4
929,4
930,3
931,3
932,3
933,4
934,3
935,4
936,3
937,4
938,3
939,4
940,3
941,4
942,4
943,3
944,4
945,4
946,4
947,4
948,4
949,4
950,4
951,4
952,3
953,4
954,4
955,4
956,4
957,4
958,4
959,4
960,3
961,3
962,3
963,4
964,4
965,3
966,3
967,3
968,4
969,4
970,4
971,5
972,5
973,4
974,4
975,3
976,5
977,4
978,3
979,4
980,3
981,3
982,3
983,3
984,3
985,4
986,4
987,3
988,3
989,3
990,4
991,4
992,4
993,3
994,5
995,3
996,4
997,3
998,4
999,4
