index,quality
0,3
1,5
2,3
3,3
4,3
5,3
6,5
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,5
16,3
17,3
18,3
19,5
20,5
21,3
22,3
23,3
24,3
25,5
26,3
27,5
28,3
29,3
30,3
31,3
32,3
33,5
34,3
35,3
36,5
37,3
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,3
48,3
49,3
50,3
51,5
52,5
53,3
54,3
55,3
56,3
57,3
58,3
59,3
60,5
61,3
62,5
63,3
64,5
65,3
66,3
67,3
68,3
69,5
70,5
71,5
72,3
73,5
74,3
75,5
76,3
77,3
78,3
79,3
80,5
81,3
82,3
83,3
84,3
85,5
86,3
87,3
88,3
89,5
90,3
91,3
92,5
93,5
94,5
95,3
96,3
97,3
98,3
99,3
100,5
101,3
102,3
103,5
104,3
105,5
106,5
107,3
108,3
109,3
110,5
111,3
112,3
113,3
114,5
115,3
116,5
117,3
118,5
119,3
120,3
121,5
122,3
123,5
124,3
125,3
126,3
127,3
128,3
129,5
130,3
131,5
132,5
133,5
134,3
135,3
136,3
137,3
138,3
139,3
140,5
141,3
142,3
143,3
144,3
145,3
146,3
147,3
148,3
149,5
150,3
151,3
152,5
153,5
154,3
155,3
156,5
157,3
158,3
159,3
160,3
161,3
162,3
163,3
164,3
165,3
166,3
167,3
168,3
169,5
170,3
171,3
172,3
173,5
174,3
175,3
176,5
177,3
178,3
179,5
180,3
181,5
182,5
183,3
184,5
185,5
186,3
187,3
188,3
189,3
190,3
191,3
192,3
193,3
194,3
195,5
196,3
197,3
198,3
199,3
200,3
201,3
202,3
203,5
204,3
205,5
206,3
207,3
208,5
209,3
210,3
211,3
212,3
213,3
214,3
215,5
216,3
217,3
218,3
219,3
220,3
221,3
222,3
223,3
224,3
225,3
226,5
227,5
228,3
229,3
230,3
231,3
232,3
233,3
234,3
235,3
236,3
237,3
238,3
239,3
240,3
241,3
242,3
243,5
244,3
245,3
246,5
247,3
248,3
249,3
250,3
251,3
252,3
253,5
254,3
255,5
256,3
257,3
258,3
259,3
260,3
261,3
