iter	MultiClass
0	1.098613086
1	1.098612623
2	1.098612623
3	1.098612623
4	1.098612623
5	1.098612507
6	1.098612044
7	1.098610078
8	1.098607301
9	1.098606259
10	1.098605912
11	1.098605681
12	1.098605565
13	1.09860545
14	1.098605334
15	1.098605218
16	1.098605102
17	1.098604987
18	1.098604871
19	1.098604524
20	1.098604408
21	1.098604061
22	1.098603598
23	1.098603598
24	1.098603367
25	1.098603367
26	1.098603136
27	1.098602904
28	1.098602788
29	1.098602673
30	1.098602673
31	1.098602557
32	1.098602441
33	1.098602326
34	1.098602326
35	1.098602326
36	1.098602094
37	1.09860221
38	1.098601979
39	1.098601979
40	1.098601747
41	1.098601747
42	1.098601631
43	1.0986014
44	1.098601284
45	1.098601053
46	1.098600822
47	1.098600706
48	1.09860059
49	1.098600474
50	1.098600127
51	1.09859978
52	1.098599665
53	1.098599086
54	1.09859897
55	1.098598392
56	1.098598045
57	1.098597351
58	1.098597119
59	1.098596656
60	1.098596078
61	1.098595499
62	1.098595268
63	1.098594689
64	1.098594342
65	1.098593995
66	1.098593301
67	1.09859307
68	1.098593185
69	1.098592375
70	1.09859226
71	1.098592028
72	1.098591797
73	1.098591681
74	1.098591218
75	1.098591218
76	1.098590987
77	1.09859064
78	1.098590061
79	1.098589946
80	1.098589714
81	1.098589367
82	1.098588673
83	1.098588905
84	1.098588095
85	1.098588326
86	1.098587632
87	1.098587632
88	1.098587632
89	1.098587053
90	1.098586706
91	1.098586475
92	1.098586128
93	1.098585896
94	1.098585318
95	1.098585318
96	1.098585202
97	1.098584624
98	1.098584392
99	1.098583929
100	1.098583929
101	1.098583582
102	1.098583582
103	1.098583235
104	1.098583004
105	1.098582541
106	1.098582078
107	1.098581731
108	1.098581153
109	1.09858069
110	1.09858069
111	1.098580227
112	1.098579533
113	1.098579417
114	1.09857907
115	1.098578607
116	1.098577913
117	1.09857826
118	1.098577682
119	1.098577566
120	1.098577103
121	1.098576987
122	1.098576756
123	1.098576409
124	1.098576293
125	1.09857583
126	1.09857583
127	1.098575483
128	1.098575136
129	1.098575021
130	1.098574326
131	1.098574442
132	1.098574326
133	1.098573979
134	1.098573748
135	1.098573864
136	1.098573285
137	1.098573169
138	1.098572938
139	1.098572707
140	1.098572707
141	1.098572475
142	1.098572012
143	1.098572012
144	1.098571202
145	1.098571202
146	1.098571318
147	1.098570624
148	1.098570624
149	1.098570277
150	1.098569814
151	1.09856993
152	1.098569583
153	1.098569236
154	1.098569236
155	1.098568773
156	1.098568194
157	1.098568194
158	1.098567847
159	1.098567847
160	1.098567384
161	1.098567269
162	1.098566922
163	1.098566574
164	1.098566459
165	1.098566227
166	1.09856588
167	1.098565533
168	1.098565417
169	1.098564839
170	1.098564723
171	1.098564608
172	1.098563913
173	1.098563798
174	1.098563335
175	1.098562988
