iter	Passed	Remaining
0	162	1629753
1	328	1643559
2	492	1641388
3	657	1642778
4	821	1641416
5	984	1640047
6	1148	1639865
7	1317	1645413
8	1479	1642291
9	1645	1643914
10	1809	1643418
11	1972	1641786
12	2136	1641421
13	2311	1648529
14	2480	1651123
15	2654	1656561
16	2828	1660728
17	3000	1663879
18	3165	1663106
19	3336	1664974
20	3504	1665428
21	3668	1663944
22	3839	1665300
23	4004	1664595
24	4170	1663995
25	4338	1664421
26	4501	1662669
27	4667	1662356
28	4836	1662799
29	5000	1661858
30	5167	1661824
31	5342	1664049
32	5519	1667149
33	5700	1671001
34	5868	1670812
35	6037	1671138
36	6210	1672224
37	6376	1671599
38	6544	1671565
39	6712	1671359
40	6875	1669995
41	7038	1668793
42	7207	1668978
43	7373	1668386
44	7544	1669072
45	7711	1668799
46	7874	1667592
47	8044	1667960
48	8211	1667522
49	8379	1667453
50	8543	1666627
51	8708	1666064
52	8878	1666256
53	9046	1666264
54	9213	1666051
55	9379	1665536
56	9550	1665901
57	9720	1666158
58	9892	1666827
59	10061	1666873
60	10227	1666356
61	10395	1666345
62	10569	1667083
63	10734	1666517
64	10908	1667347
65	11080	1667801
66	11248	1667666
67	11415	1667321
68	11582	1666975
69	11748	1666671
70	11916	1666491
71	12081	1665889
72	12244	1665051
73	12408	1664383
74	12573	1663949
75	12745	1664294
76	12920	1665120
77	13095	1665840
78	13272	1666818
79	13466	1669835
80	13888	1700755
81	14197	1717251
82	14377	1717870
83	14549	1717479
84	14721	1717183
85	14883	1715755
86	15047	1714513
87	15209	1713092
88	15397	1714667
89	15562	1713631
90	15724	1712271
91	15889	1711253
92	16053	1710158
93	16217	1709051
94	16379	1707742
95	16542	1706663
96	16706	1705650
97	16869	1704463
98	17031	1703350
99	17201	1702912
100	17371	1702580
101	17541	1702175
102	17712	1701990
103	17885	1701907
104	18055	1701511
105	18222	1700858
106	18391	1700409
107	18562	1700220
108	18732	1699813
109	18899	1699241
110	19067	1698744
111	19232	1697964
112	19395	1696992
113	19561	1696396
114	19728	1695750
115	19904	1696019
116	20076	1695891
117	20245	1695444
118	20412	1694885
119	20585	1694876
120	20749	1694052
121	20915	1693479
122	21084	1693107
123	21248	1692336
124	21412	1691595
125	21583	1691414
126	21750	1690915
127	21918	1690457
128	22098	1690969
129	22271	1690904
130	22444	1690864
131	22613	1690535
132	22779	1689964
133	22945	1689414
134	23111	1688866
135	23277	1688324
