월,일,시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%),PM2.5
1.0,1.0,0.0,0.1737756714060031,0.2019444444444444,0.0230179028132992,0.0,0.828,0.056
1.0,1.0,1.0,0.1769352290679305,0.1686111111111111,0.0306905370843989,0.0,0.831,0.06
1.0,1.0,2.0,0.1800947867298578,0.0872222222222222,0.0332480818414322,0.0,0.7839999999999999,0.068
1.0,1.0,3.0,0.1785150078988941,0.0872222222222222,0.0255754475703324,0.0,0.745,0.06
1.0,1.0,4.0,0.1642969984202211,0.1138888888888888,0.0204603580562659,0.0,0.75,0.068
1.0,1.0,5.0,0.1421800947867298,0.1272222222222222,0.0332480818414322,0.0,0.808,0.068
1.0,1.0,6.0,0.1200631911532385,0.0,0.0076726342710997,0.0,0.8420000000000001,0.088
1.0,1.0,7.0,0.1500789889415481,0.3477777777777778,0.0204603580562659,0.0,0.7909999999999999,0.088
1.0,1.0,8.0,0.2148499210110584,0.3372222222222222,0.0153452685421994,0.0,0.642,0.076
1.0,1.0,9.0,0.2227488151658767,0.3763888888888889,0.0332480818414322,0.0,0.63,0.104
1.0,1.0,10.0,0.2464454976303317,0.4186111111111111,0.0306905370843989,0.0,0.596,0.068
1.0,1.0,11.0,0.278041074249605,0.5222222222222223,0.0306905370843989,0.0,0.568,0.068
1.0,1.0,12.0,0.2843601895734597,0.6988888888888889,0.0690537084398977,0.0,0.493,0.064
1.0,1.0,13.0,0.292259083728278,0.7038888888888889,0.0562659846547314,0.0,0.454,0.044
1.0,1.0,14.0,0.2954186413902054,0.6769444444444445,0.0434782608695652,0.0,0.3909999999999999,0.052
1.0,1.0,15.0,0.2875197472353871,0.6383333333333334,0.0332480818414322,0.0,0.471,0.056
1.0,1.0,16.0,0.2590837282780411,0.0,0.0025575447570332,0.0,0.566,0.06
1.0,1.0,17.0,0.2274881516587678,0.0,0.0102301790281329,0.0,0.6739999999999999,0.056
1.0,1.0,18.0,0.2290679304897314,0.0,0.0051150895140664,0.0,0.724,0.064
1.0,1.0,19.0,0.2464454976303317,0.848888888888889,0.0179028132992327,0.0,0.698,0.06
1.0,1.0,20.0,0.2511848341232228,0.0,0.0025575447570332,0.0,0.7000000000000001,0.068
1.0,1.0,21.0,0.2496050552922591,0.0,0.0025575447570332,0.0,0.6950000000000001,0.088
1.0,1.0,22.0,0.2527646129541864,0.0,0.0025575447570332,0.0,0.743,0.108
1.0,1.0,23.0,0.2559241706161137,0.0,0.0,0.0,0.74,0.108
1.0,2.0,0.0,0.2590837282780411,0.2308333333333333,0.0204603580562659,0.0,0.726,0.112
1.0,2.0,1.0,0.2622432859399684,0.2138888888888889,0.0179028132992327,0.0,0.7320000000000001,0.12
1.0,2.0,2.0,0.2575039494470774,0.0969444444444444,0.0204603580562659,0.0,0.78,0.124
1.0,2.0,3.0,0.2559241706161137,0.1072222222222222,0.0153452685421994,0.0,0.838,0.12
1.0,2.0,4.0,0.2590837282780411,0.2377777777777777,0.0204603580562659,0.0,0.8470000000000001,0.112
1.0,2.0,5.0,0.2590837282780411,0.2536111111111111,0.0204603580562659,0.0,0.859,0.124
1.0,2.0,6.0,0.2606635071090047,0.07,0.0179028132992327,0.0,0.8520000000000001,0.136
1.0,2.0,7.0,0.2717219589257504,0.2738888888888889,0.0204603580562659,0.0,0.836,0.12
1.0,2.0,8.0,0.2985781990521327,0.3011111111111111,0.0127877237851662,0.0,0.76,0.136
1.0,2.0,9.0,0.3364928909952607,0.5730555555555557,0.0230179028132992,0.0,0.706,0.152
1.0,2.0,10.0,0.3838862559241706,0.5041666666666667,0.0204603580562659,0.0,0.6339999999999999,0.16
1.0,2.0,11.0,0.3949447077409163,0.6777777777777778,0.0562659846547314,0.0,0.6439999999999999,0.172
1.0,2.0,12.0,0.4091627172195893,0.6725,0.0383631713554987,0.0,0.611,0.124
1.0,2.0,13.0,0.4233807266982622,0.6566666666666667,0.0306905370843989,0.0,0.5900000000000001,0.148
1.0,2.0,14.0,0.4218009478672986,0.6752777777777778,0.0332480818414322,0.0,0.603,0.156
1.0,2.0,15.0,0.401263823064771,0.0,0.0025575447570332,0.0,0.651,0.164
1.0,2.0,16.0,0.368088467614534,0.2038888888888889,0.0588235294117647,0.0,0.728,0.176
1.0,2.0,17.0,0.3428120063191153,0.2275,0.0460358056265984,0.0,0.8,0.196
1.0,2.0,18.0,0.3175355450236967,0.2436111111111111,0.0281329923273657,0.0,0.8470000000000001,0.232
1.0,2.0,19.0,0.311216429699842,0.0561111111111111,0.0179028132992327,0.0,0.878,0.232
1.0,2.0,20.0,0.296998420221169,0.0,0.0,0.0,0.911,0.292
1.0,2.0,21.0,0.2764612954186414,0.0,0.0076726342710997,0.0,0.937,0.332
1.0,2.0,22.0,0.2527646129541864,0.0,0.0076726342710997,0.0,0.935,0.264
1.0,2.0,23.0,0.2480252764612954,0.2211111111111111,0.0204603580562659,0.0,0.931,0.268
1.0,3.0,0.0,0.2401263823064771,0.1791666666666666,0.0127877237851662,0.0,0.924,0.256
1.0,3.0,1.0,0.2338072669826224,0.0,0.0051150895140664,0.0,0.922,0.236
1.0,3.0,2.0,0.2322274881516587,0.1886111111111111,0.0153452685421994,0.0,0.92,0.24
1.0,3.0,3.0,0.2274881516587678,0.0,0.0025575447570332,0.0,0.915,0.248
1.0,3.0,4.0,0.2511848341232228,0.0,0.0,0.0,0.931,0.228
1.0,3.0,5.0,0.2559241706161137,0.0,0.0,0.0,0.931,0.272
1.0,3.0,6.0,0.2701421800947867,0.2141666666666666,0.0255754475703324,0.0,0.942,0.276
1.0,3.0,7.0,0.2638230647709321,0.0288888888888888,0.0409207161125319,0.0,0.94,0.26
1.0,3.0,8.0,0.273301737756714,0.0313888888888888,0.0332480818414322,0.0,0.943,0.276
1.0,3.0,9.0,0.296998420221169,0.3341666666666666,0.0332480818414322,0.0,0.958,0.316
1.0,3.0,10.0,0.3333333333333333,0.2780555555555555,0.0511508951406649,0.0,0.964,0.348
1.0,3.0,11.0,0.39652448657188,0.3441666666666667,0.0230179028132992,0.0,0.723,0.356
1.0,3.0,12.0,0.4265402843601896,0.5902777777777778,0.0204603580562659,0.0,0.599,0.36
1.0,3.0,13.0,0.4391785150078989,0.761388888888889,0.0230179028132992,0.0,0.5750000000000001,0.348
1.0,3.0,14.0,0.4423380726698263,0.4063888888888889,0.0127877237851662,0.0,0.5459999999999999,0.328
1.0,3.0,15.0,0.4296998420221169,0.1938888888888889,0.0255754475703324,0.0,0.633,0.28
1.0,3.0,16.0,0.39652448657188,0.0,0.0102301790281329,0.0,0.709,0.308
1.0,3.0,17.0,0.3617693522906793,0.1347222222222222,0.0179028132992327,0.0,0.829,0.292
1.0,3.0,18.0,0.3522906793048973,0.2458333333333333,0.0179028132992327,0.0,0.8720000000000001,0.256
1.0,3.0,19.0,0.353870458135861,0.1511111111111111,0.0153452685421994,0.0,0.893,0.22
1.0,3.0,20.0,0.3570300157977883,0.0,0.0051150895140664,0.0,0.881,0.22
1.0,3.0,21.0,0.363349131121643,0.8561111111111112,0.0255754475703324,0.0,0.863,0.26
1.0,3.0,22.0,0.358609794628752,0.0,0.0076726342710997,0.0,0.887,0.308
1.0,3.0,23.0,0.3570300157977883,0.0,0.0051150895140664,0.0,0.896,0.292
1.0,4.0,0.0,0.3617693522906793,0.0,0.0051150895140664,0.0,0.8889999999999999,0.288
1.0,4.0,1.0,0.363349131121643,0.2205555555555556,0.0127877237851662,0.0,0.898,0.284
1.0,4.0,2.0,0.363349131121643,0.2263888888888889,0.0230179028132992,0.0,0.895,0.296
