월,일,시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%),PM2.5
1.0,1.0,0.0,0.2290679304897314,0.1255555555555555,0.1227621483375959,0.0,0.733,0.07557177543640137
1.0,1.0,1.0,0.2290679304897314,0.1222222222222222,0.1355498721227621,0.0,0.718,0.068
1.0,1.0,2.0,0.2259083728278041,0.1211111111111111,0.1329923273657289,0.0,0.6920000000000001,0.068
1.0,1.0,3.0,0.2385466034755134,0.0783333333333333,0.1125319693094629,0.0,0.6970000000000001,0.068
1.0,1.0,4.0,0.2243285939968404,0.1302777777777777,0.1457800511508951,0.0,0.6839999999999999,0.06701734662055969
1.0,1.0,5.0,0.2227488151658767,0.1113888888888889,0.1329923273657289,0.0,0.711,0.04660820960998535
1.0,1.0,6.0,0.2195892575039494,0.1094444444444444,0.1406649616368286,0.0,0.758,0.08960285782814026
1.0,1.0,7.0,0.2274881516587678,0.1175,0.1202046035805626,0.0,0.714,0.058302849531173706
1.0,1.0,8.0,0.2496050552922591,0.0997222222222222,0.1278772378516624,0.0,0.656,0.04
1.0,1.0,9.0,0.2669826224328594,0.0944444444444444,0.0920716112531969,0.0,0.648,0.048
1.0,1.0,10.0,0.2954186413902054,0.0677777777777777,0.0639386189258312,0.0,0.591,0.036
1.0,1.0,11.0,0.306477093206951,0.0416666666666666,0.1227621483375959,0.0,0.582,0.04
1.0,1.0,12.0,0.311216429699842,0.0425,0.1278772378516624,0.0,0.568,0.052183181047439575
1.0,1.0,13.0,0.3175355450236967,0.0763888888888889,0.1048593350383631,0.0,0.56,0.06185367703437805
1.0,1.0,14.0,0.306477093206951,0.1536111111111111,0.0818414322250639,0.0,0.543,0.0801135003566742
1.0,1.0,15.0,0.3033175355450237,0.2188888888888888,0.0460358056265984,0.0,0.537,0.09266594052314758
1.0,1.0,16.0,0.2812006319115324,0.2013888888888889,0.0537084398976982,0.0,0.525,0.064
1.0,1.0,17.0,0.2812006319115324,0.2383333333333333,0.0332480818414322,0.0,0.544,0.06
1.0,1.0,18.0,0.2906793048973144,0.3383333333333333,0.0639386189258312,0.0,0.5509999999999999,0.068
1.0,1.0,19.0,0.282780410742496,0.4277777777777778,0.0920716112531969,0.0,0.651,0.08
1.0,1.0,20.0,0.2812006319115324,0.4622222222222222,0.1048593350383631,0.0,0.619,0.088
1.0,1.0,21.0,0.296998420221169,0.4555555555555555,0.1074168797953964,0.0,0.698,0.076
1.0,1.0,22.0,0.3048973143759874,0.4602777777777778,0.0895140664961636,0.0,0.703,0.072
1.0,1.0,23.0,0.3127962085308057,0.46,0.1150895140664961,0.0,0.7370000000000001,0.072
1.0,2.0,0.0,0.3127962085308057,0.4597222222222222,0.1176470588235294,0.0,0.748,0.08
1.0,2.0,1.0,0.3175355450236967,0.4608333333333334,0.1253196930946291,0.0,0.7589999999999999,0.088
1.0,2.0,2.0,0.3270142180094787,0.4422222222222222,0.1227621483375959,0.0,0.7639999999999999,0.08
1.0,2.0,3.0,0.3412322274881517,0.4566666666666667,0.1125319693094629,0.0,0.77,0.072
1.0,2.0,4.0,0.3428120063191153,0.4044444444444444,0.1023017902813299,0.0,0.762,0.108
1.0,2.0,5.0,0.3522906793048973,0.4002777777777778,0.0895140664961636,0.0,0.776,0.108
1.0,2.0,6.0,0.3554502369668246,0.4305555555555556,0.0843989769820971,0.0,0.7989999999999999,0.116
1.0,2.0,7.0,0.3649289099526067,0.4372222222222222,0.0818414322250639,0.0,0.7520000000000001,0.116
1.0,2.0,8.0,0.3870458135860979,0.4663888888888889,0.0613810741687979,0.0,0.64,0.128
1.0,2.0,9.0,0.4091627172195893,0.4619444444444445,0.0792838874680307,0.0,0.616,0.156
1.0,2.0,10.0,0.4265402843601896,0.4525,0.0664961636828644,0.0,0.5,0.16
1.0,2.0,11.0,0.4360189573459716,0.445,0.0613810741687979,0.0,0.493,0.128
1.0,2.0,12.0,0.4312796208530806,0.4719444444444445,0.0588235294117647,0.0,0.494,0.124
1.0,2.0,13.0,0.4439178515007899,0.3966666666666667,0.0485933503836317,0.0,0.496,0.12
1.0,2.0,14.0,0.4486571879936809,0.0980555555555555,0.0639386189258312,0.0,0.514,0.14
1.0,2.0,15.0,0.4296998420221169,0.0575,0.0588235294117647,0.0,0.521,0.144
1.0,2.0,16.0,0.4075829383886256,0.0566666666666666,0.0460358056265984,0.0,0.542,0.156
1.0,2.0,17.0,0.4107424960505529,0.1163888888888888,0.0179028132992327,0.0,0.64,0.18
1.0,2.0,18.0,0.4170616113744076,0.4836111111111111,0.0127877237851662,0.0,0.65,0.196
1.0,2.0,19.0,0.3981042654028436,0.3516666666666667,0.0358056265984654,0.0,0.687,0.208
1.0,2.0,20.0,0.39652448657188,0.4238888888888888,0.0537084398976982,0.0,0.6900000000000001,0.212
1.0,2.0,21.0,0.3838862559241706,0.44,0.0204603580562659,0.0,0.728,0.172
1.0,2.0,22.0,0.382306477093207,0.3683333333333333,0.0127877237851662,0.0,0.7320000000000001,0.18
1.0,2.0,23.0,0.3744075829383886,0.3011111111111111,0.0204603580562659,0.0,0.744,0.18
1.0,3.0,0.0,0.3696682464454977,0.2436111111111111,0.0255754475703324,0.0,0.7589999999999999,0.176
1.0,3.0,1.0,0.3791469194312796,0.3355555555555555,0.0332480818414322,0.0,0.763,0.176
1.0,3.0,2.0,0.377567140600316,0.2858333333333334,0.0358056265984654,0.0,0.7739999999999999,0.184
1.0,3.0,3.0,0.377567140600316,0.4261111111111111,0.0460358056265984,0.0,0.78,0.184
1.0,3.0,4.0,0.3807266982622433,0.445,0.0664961636828644,0.0,0.782,0.184
1.0,3.0,5.0,0.3854660347551343,0.3994444444444445,0.0946291560102301,0.0,0.788,0.184
1.0,3.0,6.0,0.382306477093207,0.3794444444444444,0.0946291560102301,0.0,0.8089999999999999,0.18
1.0,3.0,7.0,0.3917851500789889,0.4016666666666666,0.0664961636828644,0.0,0.767,0.168
1.0,3.0,8.0,0.4202211690363349,0.4561111111111111,0.0613810741687979,0.0,0.672,0.192
1.0,3.0,9.0,0.4375987361769353,0.4586111111111111,0.1023017902813299,0.0,0.598,0.188
1.0,3.0,10.0,0.4549763033175356,0.4652777777777778,0.0869565217391304,0.0,0.534,0.128
1.0,3.0,11.0,0.4470774091627172,0.4655555555555555,0.1048593350383631,0.0,0.518,0.104
1.0,3.0,12.0,0.4486571879936809,0.4583333333333333,0.0716112531969309,0.0,0.537,0.112
1.0,3.0,13.0,0.4755134281200632,0.4647222222222222,0.0895140664961636,0.0,0.53,0.132
1.0,3.0,14.0,0.4533965244865719,0.4325,0.0946291560102301,0.0,0.566,0.116
1.0,3.0,15.0,0.4533965244865719,0.4344444444444444,0.1227621483375959,0.0,0.589,0.092
1.0,3.0,16.0,0.4454976303317536,0.4030555555555555,0.1355498721227621,0.0,0.607,0.124
1.0,3.0,17.0,0.4470774091627172,0.4258333333333334,0.1457800511508951,0.0,0.663,0.12
1.0,3.0,18.0,0.4597156398104265,0.4411111111111112,0.1406649616368286,0.0,0.6539999999999999,0.12
1.0,3.0,19.0,0.4676145339652449,0.4494444444444445,0.1355498721227621,0.0,0.6859999999999999,0.12
1.0,3.0,20.0,0.4691943127962086,0.4608333333333334,0.1227621483375959,0.0,0.7020000000000001,0.108
1.0,3.0,21.0,0.4644549763033175,0.4658333333333333,0.1355498721227621,0.0,0.7120000000000001,0.116
1.0,3.0,22.0,0.4612954186413902,0.4736111111111111,0.1406649616368286,0.0,0.73,0.1
1.0,3.0,23.0,0.4597156398104265,0.48,0.1406649616368286,0.0,0.735,0.096
1.0,4.0,0.0,0.4549763033175356,0.4791666666666667,0.1432225063938619,0.0,0.767,0.104
1.0,4.0,1.0,0.4549763033175356,0.4758333333333334,0.1432225063938619,0.0,0.783,0.104
1.0,4.0,2.0,0.4549763033175356,0.4761111111111111,0.1381074168797954,0.0,0.8,0.104
1.0,4.0,3.0,0.4581358609794629,0.4686111111111111,0.1202046035805626,0.0,0.812,0.088
1.0,4.0,4.0,0.4549763033175356,0.4719444444444445,0.1176470588235294,0.0,0.8200000000000001,0.1
1.0,4.0,5.0,0.4533965244865719,0.4811111111111111,0.1304347826086956,0.0,0.829,0.1
1.0,4.0,6.0,0.4518167456556082,0.4816666666666667,0.0997442455242966,0.0,0.8420000000000001,0.084
1.0,4.0,7.0,0.4597156398104265,0.4658333333333333,0.0485933503836317,0.0,0.8250000000000001,0.128
1.0,4.0,8.0,0.4802527646129542,0.2186111111111111,0.0281329923273657,0.0,0.7639999999999999,0.116
1.0,4.0,9.0,0.4865718799368089,0.2563888888888889,0.0204603580562659,0.0,0.682,0.1
1.0,4.0,10.0,0.4881516587677725,0.1097222222222222,0.0485933503836317,0.0,0.632,0.108
1.0,4.0,11.0,0.4802527646129542,0.0202777777777777,0.0537084398976982,0.0,0.599,0.092
1.0,4.0,12.0,0.4802527646129542,0.0277777777777777,0.0664961636828644,0.0,0.608,0.128
1.0,4.0,13.0,0.4928909952606635,0.1088888888888889,0.0460358056265984,0.0,0.582,0.2
1.0,4.0,14.0,0.5007898894154819,0.2369444444444444,0.0306905370843989,0.0,0.582,0.248
1.0,4.0,15.0,0.4597156398104265,0.1869444444444444,0.0792838874680307,0.0,0.5850000000000001,0.264
1.0,4.0,16.0,0.4423380726698263,0.1613888888888889,0.0562659846547314,0.0,0.638,0.288
1.0,4.0,17.0,0.4375987361769353,0.4561111111111111,0.0460358056265984,0.0,0.6639999999999999,0.344
1.0,4.0,18.0,0.4375987361769353,0.4691666666666667,0.0281329923273657,0.0,0.725,0.388
1.0,4.0,19.0,0.4312796208530806,0.4802777777777778,0.0409207161125319,0.0,0.75,0.404
1.0,4.0,20.0,0.4328593996840443,0.3108333333333333,0.0179028132992327,0.0,0.777,0.416
1.0,4.0,21.0,0.4265402843601896,0.4369444444444444,0.0537084398976982,0.0,0.787,0.404
1.0,4.0,22.0,0.4218009478672986,0.4888888888888889,0.0179028132992327,0.0,0.7989999999999999,0.36
1.0,4.0,23.0,0.4265402843601896,0.4061111111111111,0.0485933503836317,0.0,0.805,0.364
1.0,5.0,0.0,0.4154818325434439,0.4383333333333334,0.0204603580562659,0.0,0.823,0.348
1.0,5.0,1.0,0.4218009478672986,0.4480555555555556,0.0690537084398977,0.0,0.834,0.332
1.0,5.0,2.0,0.4170616113744076,0.1872222222222222,0.0306905370843989,0.0,0.8420000000000001,0.32
1.0,5.0,3.0,0.4170616113744076,0.1861111111111111,0.0255754475703324,0.0,0.844,0.308
1.0,5.0,4.0,0.4296998420221169,0.3280555555555555,0.0281329923273657,0.0,0.848,0.316
1.0,5.0,5.0,0.4597156398104265,0.4155555555555555,0.0690537084398977,0.0,0.846,0.304
1.0,5.0,6.0,0.4691943127962086,0.4163888888888889,0.0588235294117647,0.0,0.8450000000000001,0.296
1.0,5.0,7.0,0.4407582938388626,0.1627777777777778,0.0843989769820971,0.0,0.839,0.288
1.0,5.0,8.0,0.4486571879936809,0.1530555555555555,0.0767263427109974,0.0,0.788,0.284
1.0,5.0,9.0,0.4533965244865719,0.0880555555555555,0.0383631713554987,0.0,0.73,0.316
1.0,5.0,10.0,0.4644549763033175,0.1577777777777777,0.0639386189258312,0.0,0.708,0.296
1.0,5.0,11.0,0.4739336492890995,0.1238888888888889,0.0460358056265984,0.0,0.6859999999999999,0.308
1.0,5.0,12.0,0.4928909952606635,0.1288888888888889,0.0562659846547314,0.0,0.678,0.248
1.0,5.0,13.0,0.4976303317535545,0.1452777777777777,0.0153452685421994,0.0,0.6639999999999999,0.252
1.0,5.0,14.0,0.4770932069510269,0.0394444444444444,0.0767263427109974,0.0,0.68,0.264
1.0,5.0,15.0,0.4786729857819906,0.1841666666666666,0.0613810741687979,0.0,0.698,0.248
1.0,5.0,16.0,0.4565560821484992,0.16,0.0946291560102301,0.0,0.745,0.276
1.0,5.0,17.0,0.4549763033175356,0.3497222222222222,0.0358056265984654,0.0,0.758,0.24
1.0,5.0,18.0,0.4549763033175356,0.3338888888888889,0.0306905370843989,0.0,0.7959999999999999,0.268
1.0,5.0,19.0,0.4518167456556082,0.1002777777777777,0.0664961636828644,0.0,0.8089999999999999,0.224
1.0,5.0,20.0,0.4486571879936809,0.0627777777777777,0.0537084398976982,0.0,0.8200000000000001,0.196
