월,일,시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%),PM2.5
1.0,1.0,0.0,0.2369668246445497,0.9111111111111112,0.1023017902813299,0.0,0.706,0.044
1.0,1.0,1.0,0.2306477093206951,0.9225,0.0741687979539642,0.0,0.685,0.032
1.0,1.0,2.0,0.2322274881516587,0.9069444444444444,0.1150895140664961,0.0,0.7070000000000001,0.036
1.0,1.0,3.0,0.2306477093206951,0.8841666666666668,0.1074168797953964,0.0,0.7050000000000001,0.028
1.0,1.0,4.0,0.2259083728278041,0.8719444444444444,0.1150895140664961,0.0,0.6339999999999999,0.028
1.0,1.0,5.0,0.2274881516587678,0.8916666666666667,0.1099744245524296,0.0,0.663,0.032
1.0,1.0,6.0,0.2274881516587678,0.8886111111111111,0.1227621483375959,0.0,0.6859999999999999,0.028
1.0,1.0,7.0,0.2401263823064771,0.8916666666666667,0.1074168797953964,0.0,0.652,0.032
1.0,1.0,8.0,0.2527646129541864,0.9088888888888887,0.0716112531969309,0.0,0.596,0.024
1.0,1.0,9.0,0.2654028436018957,0.9055555555555556,0.0843989769820971,0.0,0.5800000000000001,0.02
1.0,1.0,10.0,0.2606635071090047,0.9125,0.0741687979539642,0.0,0.643,0.024
1.0,1.0,11.0,0.2717219589257504,0.8647222222222223,0.0690537084398977,0.0,0.658,0.032
1.0,1.0,12.0,0.2796208530805687,0.8963888888888889,0.0588235294117647,0.0,0.601,0.036
1.0,1.0,13.0,0.2812006319115324,0.8766666666666668,0.0639386189258312,0.0,0.567,0.024
1.0,1.0,14.0,0.2843601895734597,0.055,0.0204603580562659,0.0,0.522,0.028
1.0,1.0,15.0,0.2764612954186414,0.9191666666666668,0.0306905370843989,0.0,0.521,0.04
1.0,1.0,16.0,0.2859399684044234,0.9425,0.0255754475703324,0.0,0.473,0.028
1.0,1.0,17.0,0.2890995260663507,0.0,0.0102301790281329,0.0,0.522,0.016
1.0,1.0,18.0,0.292259083728278,0.5561111111111111,0.0511508951406649,0.0,0.571,0.008
1.0,1.0,19.0,0.292259083728278,0.5794444444444444,0.0613810741687979,0.0,0.604,0.024
1.0,1.0,20.0,0.3001579778830964,0.5725,0.0511508951406649,0.0,0.632,0.04
1.0,1.0,21.0,0.3080568720379147,0.4602777777777778,0.0664961636828644,0.0,0.6339999999999999,0.044
1.0,1.0,22.0,0.2875197472353871,0.2619444444444444,0.1304347826086956,0.0,0.7120000000000001,0.072
1.0,1.0,23.0,0.282780410742496,0.2663888888888889,0.1560102301790281,0.0,0.79,0.064
1.0,2.0,0.0,0.273301737756714,0.2780555555555555,0.1457800511508951,0.0,0.8350000000000001,0.08
1.0,2.0,1.0,0.2890995260663507,0.3686111111111111,0.1432225063938619,0.0,0.8470000000000001,0.092
1.0,2.0,2.0,0.2875197472353871,0.2763888888888889,0.1125319693094629,0.0,0.878,0.08
1.0,2.0,3.0,0.296998420221169,0.2927777777777778,0.0869565217391304,0.0,0.88,0.20147329568862915
1.0,2.0,4.0,0.3080568720379147,0.3077777777777777,0.0716112531969309,0.0,0.8770000000000001,0.17281454801559448
1.0,2.0,5.0,0.30173775671406,0.1955555555555555,0.0255754475703324,0.0,0.8620000000000001,0.19345098733901978
1.0,2.0,6.0,0.292259083728278,0.1997222222222222,0.1048593350383631,0.0,0.885,0.2625358998775482
1.0,2.0,7.0,0.3033175355450237,0.2133333333333333,0.0997442455242966,0.0,0.8889999999999999,0.2164880335330963
1.0,2.0,8.0,0.330173775671406,0.1958333333333333,0.0306905370843989,0.0,0.8059999999999999,0.2112070918083191
1.0,2.0,9.0,0.3554502369668246,0.2002777777777777,0.0562659846547314,0.0,0.763,0.23938459157943726
1.0,2.0,10.0,0.368088467614534,0.1677777777777777,0.0613810741687979,0.0,0.7520000000000001,0.15623682737350464
1.0,2.0,11.0,0.382306477093207,0.1827777777777778,0.0434782608695652,0.0,0.734,0.184
