월,일,시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%),PM2.5
1.0,1.0,0.0,0.1911532385466034,0.0830555555555555,0.0767263427109974,0.0,0.501,0.09814313054084778
1.0,1.0,1.0,0.1848341232227488,0.0866666666666666,0.0485933503836317,0.0,0.547,0.09181144833564758
1.0,1.0,2.0,0.1816745655608214,0.0872222222222222,0.0255754475703324,0.0,0.5700000000000001,0.07058471441268921
1.0,1.0,3.0,0.1737756714060031,0.4247222222222223,0.0281329923273657,0.0,0.627,0.09904438257217407
1.0,1.0,4.0,0.1706161137440758,0.0,0.0102301790281329,0.0,0.689,0.1650468111038208
1.0,1.0,5.0,0.1706161137440758,0.3319444444444444,0.0383631713554987,0.0,0.7100000000000001,0.12678879499435425
1.0,1.0,6.0,0.1769352290679305,0.3202777777777778,0.0127877237851662,0.0,0.7170000000000001,0.21629759669303894
1.0,1.0,7.0,0.1879936808846761,0.1463888888888889,0.0255754475703324,0.0,0.6970000000000001,0.0783439576625824
1.0,1.0,8.0,0.1974723538704581,0.0683333333333333,0.0179028132992327,0.0,0.635,0.11293277144432068
1.0,1.0,9.0,0.2211690363349131,0.9733333333333332,0.0127877237851662,0.0,0.5650000000000001,0.23672142624855042
1.0,1.0,10.0,0.2227488151658767,0.9883333333333334,0.0383631713554987,0.0,0.547,0.17306777834892273
1.0,1.0,11.0,0.2369668246445497,0.0338888888888888,0.0358056265984654,0.0,0.5609999999999999,0.11581000685691833
1.0,1.0,12.0,0.2638230647709321,0.7669444444444445,0.0230179028132992,0.0,0.533,0.14148589968681335
1.0,1.0,13.0,0.278041074249605,0.638888888888889,0.0332480818414322,0.0,0.517,0.1304604709148407
1.0,1.0,14.0,0.273301737756714,0.5425000000000001,0.0306905370843989,0.0,0.504,0.1467793583869934
1.0,1.0,15.0,0.2764612954186414,0.5805555555555556,0.0306905370843989,0.0,0.476,0.1191578209400177
1.0,1.0,16.0,0.2353870458135861,0.5469444444444445,0.0204603580562659,0.0,0.596,0.14105328917503357
1.0,1.0,17.0,0.2559241706161137,0.4591666666666667,0.0179028132992327,0.0,0.537,0.1421101689338684
1.0,1.0,18.0,0.2543443917851501,0.5186111111111111,0.0358056265984654,0.0,0.611,0.11160171031951904
1.0,1.0,19.0,0.2654028436018957,0.5694444444444444,0.0383631713554987,0.0,0.548,0.14297768473625183
1.0,1.0,20.0,0.2685624012638231,0.3752777777777777,0.0383631713554987,0.0,0.5359999999999999,0.15349704027175903
1.0,1.0,21.0,0.278041074249605,0.3505555555555555,0.0434782608695652,0.0,0.475,0.16540312767028809
1.0,1.0,22.0,0.2796208530805687,0.3255555555555556,0.0613810741687979,0.0,0.475,0.156
1.0,1.0,23.0,0.278041074249605,0.2997222222222222,0.0460358056265984,0.0,0.5700000000000001,0.156
1.0,2.0,0.0,0.2701421800947867,0.3255555555555556,0.0511508951406649,0.0,0.665,0.156
1.0,2.0,1.0,0.2669826224328594,0.3608333333333333,0.0588235294117647,0.0,0.689,0.1949802041053772
