월,일,시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%),PM2.5
1.0,1.0,0.0,0.2116903633491311,0.9530555555555555,0.0332480818414322,0.0,0.7909999999999999,0.112
1.0,1.0,1.0,0.2053712480252764,0.0455555555555555,0.0281329923273657,0.0,0.771,0.072
1.0,1.0,2.0,0.1990521327014218,0.8908333333333334,0.0281329923273657,0.0,0.733,0.084
1.0,1.0,3.0,0.1943127962085308,0.1141666666666666,0.0434782608695652,0.0,0.7739999999999999,0.076
1.0,1.0,4.0,0.1943127962085308,0.1308333333333333,0.0255754475703324,0.0,0.7000000000000001,0.064
1.0,1.0,5.0,0.1943127962085308,0.9077777777777778,0.0255754475703324,0.0,0.682,0.06
1.0,1.0,6.0,0.1816745655608214,0.0,0.0102301790281329,0.0,0.728,0.064
1.0,1.0,7.0,0.1943127962085308,0.5361111111111111,0.0153452685421994,0.0,0.7000000000000001,0.092
1.0,1.0,8.0,0.2369668246445497,0.49,0.0153452685421994,0.0,0.5800000000000001,0.124
1.0,1.0,9.0,0.2606635071090047,0.2727777777777778,0.0179028132992327,0.0,0.526,0.108
1.0,1.0,10.0,0.2764612954186414,0.6963888888888888,0.0409207161125319,0.0,0.421,0.072
1.0,1.0,11.0,0.2796208530805687,0.8027777777777778,0.0639386189258312,0.0,0.4009999999999999,0.044
1.0,1.0,12.0,0.2843601895734597,0.9855555555555556,0.0511508951406649,0.0,0.439,0.02
1.0,1.0,13.0,0.3080568720379147,0.7394444444444445,0.0409207161125319,0.0,0.382,0.028
1.0,1.0,14.0,0.3080568720379147,0.7027777777777778,0.0613810741687979,0.0,0.389,0.052
1.0,1.0,15.0,0.2938388625592417,0.7616666666666667,0.0332480818414322,0.0,0.384,0.032
1.0,1.0,16.0,0.2859399684044234,0.7744444444444445,0.0204603580562659,0.0,0.4009999999999999,0.04
1.0,1.0,17.0,0.2717219589257504,0.535,0.0230179028132992,0.0,0.469,0.048
1.0,1.0,18.0,0.2764612954186414,0.5491666666666667,0.0306905370843989,0.0,0.491,0.064
1.0,1.0,19.0,0.2717219589257504,0.8747222222222222,0.0179028132992327,0.0,0.5569999999999999,0.092
1.0,1.0,20.0,0.2764612954186414,0.0,0.0076726342710997,0.0,0.581,0.092
1.0,1.0,21.0,0.2812006319115324,0.8788888888888888,0.0127877237851662,0.0,0.577,0.064
1.0,1.0,22.0,0.2764612954186414,0.0,0.0076726342710997,0.0,0.601,0.032
1.0,1.0,23.0,0.2812006319115324,0.8575,0.0127877237851662,0.0,0.602,0.08
1.0,2.0,0.0,0.282780410742496,0.0,0.0102301790281329,0.0,0.617,0.072
1.0,2.0,1.0,0.2859399684044234,0.6866666666666666,0.0127877237851662,0.0,0.637,0.048
1.0,2.0,2.0,0.2890995260663507,0.5491666666666667,0.0230179028132992,0.0,0.638,0.068
1.0,2.0,3.0,0.2859399684044234,0.4316666666666667,0.0127877237851662,0.0,0.726,0.088
1.0,2.0,4.0,0.2906793048973144,0.6791666666666667,0.0153452685421994,0.0,0.77,0.076
1.0,2.0,5.0,0.2906793048973144,0.8711111111111112,0.0127877237851662,0.0,0.8009999999999999,0.068
1.0,2.0,6.0,0.2938388625592417,0.0,0.0076726342710997,0.0,0.8220000000000001,0.08
1.0,2.0,7.0,0.3096366508688783,0.0,0.0051150895140664,0.0,0.786,0.092
1.0,2.0,8.0,0.3333333333333333,0.895,0.0127877237851662,0.0,0.724,0.108
1.0,2.0,9.0,0.3854660347551343,0.6505555555555556,0.0332480818414322,0.0,0.65,0.088
1.0,2.0,10.0,0.4249605055292259,0.695,0.0460358056265984,0.0,0.573,0.092
1.0,2.0,11.0,0.4296998420221169,0.66,0.0664961636828644,0.0,0.547,0.072
1.0,2.0,12.0,0.4391785150078989,0.6458333333333334,0.0588235294117647,0.0,0.521,0.08
1.0,2.0,13.0,0.4533965244865719,0.6605555555555556,0.0613810741687979,0.0,0.486,0.088
1.0,2.0,14.0,0.4454976303317536,0.6433333333333333,0.0613810741687979,0.0,0.504,0.104
1.0,2.0,15.0,0.4265402843601896,0.6661111111111112,0.0485933503836317,0.0,0.549,0.112
1.0,2.0,16.0,0.3902053712480253,0.5105555555555557,0.0127877237851662,0.0,0.6639999999999999,0.128
1.0,2.0,17.0,0.3854660347551343,0.3105555555555556,0.0153452685421994,0.0,0.699,0.176
1.0,2.0,18.0,0.368088467614534,0.0,0.0102301790281329,0.0,0.753,0.208
1.0,2.0,19.0,0.34913112164297,0.0,0.0076726342710997,0.0,0.819,0.192
1.0,2.0,20.0,0.3459715639810427,0.0,0.0051150895140664,0.0,0.844,0.208
1.0,2.0,21.0,0.334913112164297,0.0,0.0051150895140664,0.0,0.858,0.196
1.0,2.0,22.0,0.3270142180094787,0.0,0.0,0.0,0.881,0.184
1.0,2.0,23.0,0.3143759873617693,0.0,0.0,0.0,0.886,0.188
1.0,3.0,0.0,0.311216429699842,0.0,0.0,0.0,0.893,0.188
1.0,3.0,1.0,0.3001579778830964,0.0,0.0,0.0,0.897,0.192
1.0,3.0,2.0,0.2890995260663507,0.0,0.0,0.0,0.901,0.208
1.0,3.0,3.0,0.2875197472353871,0.0,0.0,0.0,0.897,0.18
1.0,3.0,4.0,0.2859399684044234,0.0,0.0,0.0,0.898,0.18
1.0,3.0,5.0,0.273301737756714,0.0,0.0,0.0,0.8839999999999999,0.168
1.0,3.0,6.0,0.2764612954186414,0.0,0.0,0.0,0.8889999999999999,0.184
1.0,3.0,7.0,0.296998420221169,0.0,0.0076726342710997,0.0,0.88,0.184
1.0,3.0,8.0,0.3364928909952607,0.5766666666666667,0.0153452685421994,0.0,0.749,0.184
1.0,3.0,9.0,0.3791469194312796,0.8058333333333334,0.0153452685421994,0.0,0.665,0.188
1.0,3.0,10.0,0.4123222748815166,0.8944444444444445,0.0127877237851662,0.0,0.589,0.204
1.0,3.0,11.0,0.4502369668246446,0.9786111111111112,0.0230179028132992,0.0,0.509,0.208
1.0,3.0,12.0,0.4723538704581359,0.8736111111111111,0.0281329923273657,0.0,0.424,0.164
1.0,3.0,13.0,0.5055292259083729,0.6869444444444445,0.0588235294117647,0.0,0.4459999999999999,0.112
