월,일,시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%),PM2.5
1.0,1.0,0.0,0.1579778830963665,0.0125,0.0127877237851662,0.0,0.615,0.056
1.0,1.0,1.0,0.1532385466034755,0.0,0.0076726342710997,0.0,0.593,0.048
1.0,1.0,2.0,0.1374407582938388,0.0,0.0102301790281329,0.0,0.6739999999999999,0.048
1.0,1.0,3.0,0.1153238546603475,0.0,0.0102301790281329,0.0,0.7050000000000001,0.056
1.0,1.0,4.0,0.1121642969984201,0.0,0.0,0.0,0.7320000000000001,0.044
1.0,1.0,5.0,0.1216429699842022,0.0,0.0051150895140664,0.0,0.75,0.052
1.0,1.0,6.0,0.1153238546603475,0.0,0.0076726342710997,0.0,0.7589999999999999,0.044
1.0,1.0,7.0,0.1248025276461295,0.0,0.0,0.0,0.751,0.056
1.0,1.0,8.0,0.1690363349131121,0.6141666666666666,0.0179028132992327,0.0,0.612,0.06
1.0,1.0,9.0,0.1864139020537125,0.6291666666666667,0.0358056265984654,0.0,0.56,0.048
1.0,1.0,10.0,0.2101105845181674,0.6547222222222222,0.0204603580562659,0.0,0.553,0.052
1.0,1.0,11.0,0.2322274881516587,0.745,0.0383631713554987,0.0,0.573,0.044
1.0,1.0,12.0,0.2401263823064771,0.7477777777777778,0.0332480818414322,0.0,0.517,0.048
1.0,1.0,13.0,0.32863128185272217,0.6856547594070435,0.048313409090042114,9.834766387939453e-05,0.5322985649108887,0.056
1.0,1.0,14.0,0.32919958233833313,0.7210037708282471,0.05231362581253052,-0.00014162063598632812,0.5395725965499878,0.044
1.0,1.0,15.0,0.31364965438842773,0.7688741683959961,0.037621110677719116,-0.00010836124420166016,0.5560711622238159,0.04
1.0,1.0,16.0,0.2796494960784912,0.7604594230651855,0.03555682301521301,-0.00011563301086425781,0.5689554810523987,0.04
1.0,1.0,17.0,0.26272881031036377,0.7242708206176758,0.018679946660995483,6.279349327087402e-05,0.6091387271881104,0.056
1.0,1.0,18.0,0.31108948588371277,0.6991791725158691,0.028185218572616577,0.000156402587890625,0.6829054355621338,0.068
