월,일,시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%),PM2.5
1.0,1.0,0.0,0.1737756714060031,0.0113888888888888,0.0255754475703324,0.0,0.741,0.044
1.0,1.0,1.0,0.1737756714060031,0.943888888888889,0.0230179028132992,0.0,0.7370000000000001,0.064
1.0,1.0,2.0,0.1658767772511848,0.0,0.0,0.0,0.7789999999999999,0.06
1.0,1.0,3.0,0.1484992101105845,0.0,0.0076726342710997,0.0,0.8,0.072
1.0,1.0,4.0,0.1263823064770932,0.9638888888888888,0.0306905370843989,0.0,0.853,0.08
1.0,1.0,5.0,0.1042654028436018,0.937777777777778,0.0179028132992327,0.0,0.8470000000000001,0.068
1.0,1.0,6.0,0.0932069510268562,0.9047222222222222,0.0153452685421994,0.0,0.8450000000000001,0.076
1.0,1.0,7.0,0.1184834123222748,0.0,0.0025575447570332,0.0,0.8320000000000001,0.12
1.0,1.0,8.0,0.1706161137440758,0.0,0.0025575447570332,0.0,0.7320000000000001,0.18
1.0,1.0,9.0,0.2116903633491311,0.0,0.0051150895140664,0.0,0.604,0.172
1.0,1.0,10.0,0.2227488151658767,0.2458333333333333,0.0306905370843989,0.0,0.5650000000000001,0.108
1.0,1.0,11.0,0.2417061611374407,0.2838888888888889,0.0179028132992327,0.0,0.538,0.076
1.0,1.0,12.0,0.2543443917851501,0.3044444444444444,0.0358056265984654,0.0,0.508,0.064
1.0,1.0,13.0,0.2717219589257504,0.3288888888888889,0.0332480818414322,0.0,0.472,0.06
1.0,1.0,14.0,0.2812006319115324,0.2188888888888888,0.0179028132992327,0.0,0.444,0.072
1.0,1.0,15.0,0.2717219589257504,0.265,0.0281329923273657,0.0,0.476,0.06
1.0,1.0,16.0,0.2369668246445497,0.0,0.0102301790281329,0.0,0.64,0.04
1.0,1.0,17.0,0.2037914691943128,0.0,0.0051150895140664,0.0,0.704,0.044
1.0,1.0,18.0,0.2148499210110584,0.0,0.0102301790281329,0.0,0.724,0.076
1.0,1.0,19.0,0.2274881516587678,0.9411111111111112,0.0204603580562659,0.0,0.745,0.096
1.0,1.0,20.0,0.2385466034755134,0.0,0.0,0.0,0.7100000000000001,0.104
1.0,1.0,21.0,0.2464454976303317,0.0,0.0,0.0,0.7220000000000001,0.096
1.0,1.0,22.0,0.2480252764612954,0.0,0.0,0.0,0.735,0.096
1.0,1.0,23.0,0.2527646129541864,0.0,0.0,0.0,0.765,0.084
1.0,2.0,0.0,0.2559241706161137,0.0,0.0,0.0,0.78,0.096
1.0,2.0,1.0,0.2559241706161137,0.0,0.0,0.0,0.8270000000000001,0.112
1.0,2.0,2.0,0.2527646129541864,0.0,0.0,0.0,0.856,0.104
1.0,2.0,3.0,0.2543443917851501,0.0,0.0,0.0,0.883,0.092
1.0,2.0,4.0,0.2590837282780411,0.0,0.0,0.0,0.895,0.1
1.0,2.0,5.0,0.2606635071090047,0.0,0.0,0.0,0.911,0.088
1.0,2.0,6.0,0.2638230647709321,0.0,0.0025575447570332,0.0,0.903,0.084
1.0,2.0,7.0,0.273301737756714,0.0,0.0025575447570332,0.0,0.8770000000000001,0.076
1.0,2.0,8.0,0.2875197472353871,0.0,0.0025575447570332,0.0,0.8180000000000001,0.096
1.0,2.0,9.0,0.3001579778830964,0.2894444444444444,0.0332480818414322,0.0,0.73,0.1
1.0,2.0,10.0,0.325434439178515,0.2880555555555555,0.0306905370843989,0.0,0.689,0.112
1.0,2.0,11.0,0.3522906793048973,0.2927777777777778,0.0230179028132992,0.0,0.646,0.104
1.0,2.0,12.0,0.3696682464454977,0.2794444444444444,0.0383631713554987,0.0,0.655,0.124
1.0,2.0,13.0,0.3807266982622433,0.0372222222222222,0.0409207161125319,0.0,0.67,0.14
1.0,2.0,14.0,0.3838862559241706,0.0402777777777777,0.0409207161125319,0.0,0.663,0.16
1.0,2.0,15.0,0.358609794628752,0.0991666666666666,0.0230179028132992,0.0,0.714,0.156
1.0,2.0,16.0,0.344391785150079,0.0522222222222222,0.0358056265984654,0.0,0.7320000000000001,0.14
1.0,2.0,17.0,0.3380726698262243,0.0,0.0076726342710997,0.0,0.7689999999999999,0.144
1.0,2.0,18.0,0.3080568720379147,0.0,0.0025575447570332,0.0,0.898,0.136
1.0,2.0,19.0,0.292259083728278,0.9372222222222222,0.0230179028132992,0.0,0.967,0.144
1.0,2.0,20.0,0.2764612954186414,0.0,0.0076726342710997,0.0,0.967,0.168
1.0,2.0,21.0,0.2527646129541864,0.0119444444444444,0.0204603580562659,0.0,0.967,0.192
1.0,2.0,22.0,0.2559241706161137,0.0025,0.0204603580562659,0.0,0.967,0.192
1.0,2.0,23.0,0.2432859399684044,0.0,0.0,0.0,0.967,0.22
1.0,3.0,0.0,0.2385466034755134,0.0,0.0076726342710997,0.0,0.967,0.212
1.0,3.0,1.0,0.2322274881516587,0.9894444444444443,0.0204603580562659,0.0,0.967,0.212
1.0,3.0,2.0,0.2259083728278041,0.0,0.0,0.0,0.967,0.18
1.0,3.0,3.0,0.2259083728278041,0.0,0.0051150895140664,0.0,0.967,0.144
1.0,3.0,4.0,0.2290679304897314,0.9580555555555555,0.0127877237851662,0.0,0.967,0.148
1.0,3.0,5.0,0.2401263823064771,0.9677777777777776,0.0127877237851662,0.0,0.967,0.124
1.0,3.0,6.0,0.2543443917851501,0.0,0.0051150895140664,0.0,0.967,0.16
1.0,3.0,7.0,0.2606635071090047,0.925,0.0179028132992327,0.0,0.967,0.18
1.0,3.0,8.0,0.2717219589257504,0.861388888888889,0.0127877237851662,0.0,0.967,0.2
1.0,3.0,9.0,0.2890995260663507,0.0,0.0102301790281329,0.0,0.967,0.22
1.0,3.0,10.0,0.3270142180094787,0.4366666666666666,0.0153452685421994,0.0,0.967,0.232
1.0,3.0,11.0,0.34913112164297,0.8316666666666667,0.0153452685421994,0.0,0.967,0.248
1.0,3.0,12.0,0.3838862559241706,0.2852777777777778,0.0383631713554987,0.0,0.7320000000000001,0.224
1.0,3.0,13.0,0.4202211690363349,0.0144444444444444,0.0332480818414322,0.0,0.616,0.228
1.0,3.0,14.0,0.4218009478672986,0.2938888888888888,0.0230179028132992,0.0,0.602,0.228
1.0,3.0,15.0,0.4186413902053713,0.0,0.0102301790281329,0.0,0.621,0.24
1.0,3.0,16.0,0.3791469194312796,0.9163888888888888,0.0204603580562659,0.0,0.74,0.252
1.0,3.0,17.0,0.3601895734597157,0.9766666666666668,0.0358056265984654,0.0,0.8109999999999999,0.236
1.0,3.0,18.0,0.3507109004739336,0.9569444444444444,0.0204603580562659,0.0,0.8620000000000001,0.216
1.0,3.0,19.0,0.3570300157977883,0.0,0.0051150895140664,0.0,0.866,0.212
1.0,3.0,20.0,0.358609794628752,0.6077777777777779,0.0127877237851662,0.0,0.853,0.232
1.0,3.0,21.0,0.3507109004739336,0.9536111111111112,0.0383631713554987,0.0,0.906,0.236
1.0,3.0,22.0,0.35132914781570435,0.8059414029121399,0.022366464138031006,-8.296966552734375e-05,0.8300749063491821,0.22
1.0,3.0,23.0,0.3601895734597157,0.0,0.0076726342710997,0.0,0.922,0.216
1.0,4.0,0.0,0.363349131121643,0.0,0.0076726342710997,0.0,0.875,0.272
1.0,4.0,1.0,0.368088467614534,0.0,0.0025575447570332,0.0,0.893,0.272
1.0,4.0,2.0,0.3665086887835703,0.0,0.0051150895140664,0.0,0.896,0.264
1.0,4.0,3.0,0.3601895734597157,0.0,0.0025575447570332,0.0,0.926,0.236
1.0,4.0,4.0,0.3507109004739336,0.0,0.0025575447570332,0.0,0.967,0.228
1.0,4.0,5.0,0.3428120063191153,0.9694444444444444,0.0409207161125319,0.0,0.967,0.236
1.0,4.0,6.0,0.3522906793048973,0.5575,0.0127877237851662,0.0,0.967,0.236
1.0,4.0,7.0,0.3601895734597157,0.1822222222222222,0.0127877237851662,0.0,0.963,0.252
1.0,4.0,8.0,0.4312796208530806,0.4483333333333333,0.0204603580562659,0.0,0.772,0.296
1.0,4.0,9.0,0.4818325434439179,0.6108333333333333,0.0409207161125319,0.0,0.7100000000000001,0.28
1.0,4.0,10.0,0.5039494470774092,0.645,0.0511508951406649,0.0,0.628,0.276
1.0,4.0,11.0,0.5276461295418642,0.7702777777777778,0.0383631713554987,0.0,0.489,0.2403104305267334
1.0,4.0,12.0,0.5181674565560822,0.9311111111111112,0.0562659846547314,0.0,0.516,0.31190794706344604
1.0,4.0,13.0,0.5213270142180095,0.9744444444444446,0.0306905370843989,0.0,0.527,0.23493510484695435
1.0,4.0,14.0,0.5086887835703002,0.0402777777777777,0.0383631713554987,0.0,0.543,0.25952696800231934
1.0,4.0,15.0,0.4739336492890995,0.9555555555555556,0.0383631713554987,0.0,0.5790000000000001,0.22702807188034058
1.0,4.0,16.0,0.4328593996840443,0.2163888888888889,0.0127877237851662,0.0,0.6970000000000001,0.28
1.0,4.0,17.0,0.4028436018957346,0.0,0.0102301790281329,0.0,0.793,0.26
1.0,4.0,18.0,0.3949447077409163,0.0,0.0102301790281329,0.0,0.8180000000000001,0.284
1.0,4.0,19.0,0.3917851500789889,0.951388888888889,0.0179028132992327,0.0,0.8170000000000001,0.296
1.0,4.0,20.0,0.3807266982622433,0.943888888888889,0.0255754475703324,0.0,0.904,0.28
1.0,4.0,21.0,0.372827804107425,0.4422222222222222,0.0230179028132992,0.0,0.966,0.292
1.0,4.0,22.0,0.3601895734597157,0.9194444444444444,0.0127877237851662,0.0,0.967,0.284
1.0,4.0,23.0,0.3507109004739336,0.0,0.0051150895140664,0.0,0.967,0.272
1.0,5.0,0.0,0.3428120063191153,0.9458333333333334,0.0204603580562659,0.0,0.967,0.316
1.0,5.0,1.0,0.3522906793048973,0.4619444444444445,0.0153452685421994,0.0,0.967,0.308
1.0,5.0,2.0,0.353870458135861,0.0,0.0076726342710997,0.0,0.967,0.3
1.0,5.0,3.0,0.358609794628752,0.4172222222222222,0.0255754475703324,0.0,0.967,0.312
1.0,5.0,4.0,0.3617693522906793,0.9816666666666668,0.0204603580562659,0.0,0.967,0.292
1.0,5.0,5.0,0.3665086887835703,0.0,0.0,0.0,0.967,0.264
1.0,5.0,6.0,0.3649289099526067,0.8827777777777779,0.0153452685421994,0.0,0.967,0.292
1.0,5.0,7.0,0.377567140600316,0.0,0.0025575447570332,0.0,0.967,0.368
1.0,5.0,8.0,0.39652448657188,0.6286111111111111,0.0127877237851662,0.0,0.8500000000000001,0.356
1.0,5.0,9.0,0.4218009478672986,0.8877777777777779,0.0179028132992327,0.0,0.765,0.336
1.0,5.0,10.0,0.4439178515007899,0.0,0.0102301790281329,0.0,0.711,0.352
1.0,5.0,11.0,0.4486571879936809,0.0,0.0025575447570332,0.0,0.701,0.28470686078071594
1.0,5.0,12.0,0.4581358609794629,0.0,0.0076726342710997,0.0,0.694,0.2972630262374878
1.0,5.0,13.0,0.4660347551342812,0.0044444444444444,0.0153452685421994,0.0,0.7000000000000001,0.28112104535102844
1.0,5.0,14.0,0.4565560821484992,0.0,0.0102301790281329,0.0,0.7370000000000001,0.26824116706848145
1.0,5.0,15.0,0.4423380726698263,0.0,0.0025575447570332,0.0,0.824,0.22767633199691772
1.0,5.0,16.0,0.4265402843601896,0.0,0.0051150895140664,0.0170454545454545,0.967,0.16128885746002197
1.0,5.0,17.0,0.4281200631911532,0.3961111111111111,0.0179028132992327,0.0056818181818181,0.967,0.156
1.0,5.0,18.0,0.4139020537124803,0.9825,0.0332480818414322,0.0056818181818181,0.967,0.228
1.0,5.0,19.0,0.4123222748815166,0.95,0.0204603580562659,0.0,0.967,0.176
1.0,5.0,20.0,0.4139020537124803,0.9683333333333334,0.0179028132992327,0.0,0.967,0.064
1.0,5.0,21.0,0.4075829383886256,0.9619444444444444,0.0306905370843989,0.0,0.967,0.052
1.0,5.0,22.0,0.4091627172195893,0.0,0.0051150895140664,0.0,0.967,0.1
1.0,5.0,23.0,0.4044233807266983,0.9788888888888888,0.0255754475703324,0.0,0.967,0.188
1.0,6.0,0.0,0.4075829383886256,0.0,0.0102301790281329,0.0,0.967,0.204
1.0,6.0,1.0,0.4075829383886256,0.0,0.0025575447570332,0.0056818181818181,0.967,0.188
1.0,6.0,2.0,0.406003159557662,0.9641666666666668,0.0230179028132992,0.0056818181818181,0.967,0.156
1.0,6.0,3.0,0.4107424960505529,0.0086111111111111,0.0179028132992327,0.0170454545454545,0.967,0.168
