월,일,시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%),PM2.5
1.0,1.0,0.0,0.1706161137440758,0.0533333333333333,0.0179028132992327,0.0,0.7639999999999999,0.044
1.0,1.0,1.0,0.1674565560821485,0.0994444444444444,0.0204603580562659,0.0,0.7589999999999999,0.048
1.0,1.0,2.0,0.1627172195892575,0.1341666666666666,0.0127877237851662,0.0,0.76,0.06
1.0,1.0,3.0,0.1579778830963665,0.0,0.0051150895140664,0.0,0.7470000000000001,0.064
1.0,1.0,4.0,0.1484992101105845,0.0,0.0076726342710997,0.0,0.7909999999999999,0.064
1.0,1.0,5.0,0.1421800947867298,0.0,0.0076726342710997,0.0,0.78,0.064
1.0,1.0,6.0,0.1279620853080568,0.0,0.0076726342710997,0.0,0.808,0.056
1.0,1.0,7.0,0.1548183254344391,0.0,0.0051150895140664,0.0,0.738,0.056
1.0,1.0,8.0,0.1911532385466034,0.5744444444444445,0.0204603580562659,0.0,0.615,0.056
1.0,1.0,9.0,0.2069510268562401,0.3311111111111111,0.0485933503836317,0.0,0.588,0.048
1.0,1.0,10.0,0.2338072669826224,0.1202777777777777,0.0358056265984654,0.0,0.555,0.06
1.0,1.0,11.0,0.282780410742496,0.0,0.0102301790281329,0.0,0.478,0.052
1.0,1.0,12.0,0.2812006319115324,0.1180555555555555,0.0332480818414322,0.0,0.453,0.056
1.0,1.0,13.0,0.2890995260663507,0.9247222222222222,0.0409207161125319,0.0,0.35,0.048
1.0,1.0,14.0,0.2906793048973144,0.9033333333333332,0.0460358056265984,0.0,0.294,0.052
1.0,1.0,15.0,0.273301737756714,0.165,0.0306905370843989,0.0,0.419,0.036
1.0,1.0,16.0,0.244865718799368,0.0,0.0102301790281329,0.0,0.521,0.048
1.0,1.0,17.0,0.2369668246445497,0.0,0.0025575447570332,0.0,0.532,0.052
1.0,1.0,18.0,0.2369668246445497,0.0,0.0102301790281329,0.0,0.5459999999999999,0.044
1.0,1.0,19.0,0.2559241706161137,0.8097222222222222,0.0127877237851662,0.0,0.548,0.04
1.0,1.0,20.0,0.2496050552922591,0.0,0.0051150895140664,0.0,0.591,0.048
1.0,1.0,21.0,0.2464454976303317,0.0,0.0025575447570332,0.0,0.66,0.044
1.0,1.0,22.0,0.2432859399684044,0.0,0.0102301790281329,0.0,0.7200000000000001,0.048
1.0,1.0,23.0,0.2432859399684044,0.0,0.0102301790281329,0.0,0.7100000000000001,0.064
1.0,2.0,0.0,0.2432859399684044,0.1513888888888889,0.0127877237851662,0.0,0.74,0.08
