월,일,시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%),PM2.5
1.0,1.0,0.0,0.1785150078988941,0.1627777777777778,0.0639386189258312,0.0,0.7420000000000001,0.032
1.0,1.0,1.0,0.1769352290679305,0.1780555555555555,0.0613810741687979,0.0,0.733,0.032
1.0,1.0,2.0,0.1706161137440758,0.2608333333333333,0.0460358056265984,0.0,0.761,0.048
1.0,1.0,3.0,0.1690363349131121,0.2516666666666666,0.0230179028132992,0.0,0.763,0.044
1.0,1.0,4.0,0.1658767772511848,0.0,0.0102301790281329,0.0,0.771,0.036
1.0,1.0,5.0,0.1706161137440758,0.2002777777777777,0.0383631713554987,0.0,0.78,0.036
1.0,1.0,6.0,0.1674565560821485,0.4272222222222223,0.0204603580562659,0.0,0.7739999999999999,0.04
1.0,1.0,7.0,0.1848341232227488,0.5233333333333333,0.0153452685421994,0.0,0.76,0.04
1.0,1.0,8.0,0.2180094786729857,0.3102777777777778,0.0230179028132992,0.0,0.626,0.052
1.0,1.0,9.0,0.2290679304897314,0.0655555555555555,0.0358056265984654,0.0,0.5750000000000001,0.08
1.0,1.0,10.0,0.2480252764612954,0.1480555555555555,0.0230179028132992,0.0,0.515,0.092
1.0,1.0,11.0,0.2369668246445497,0.2880555555555555,0.0460358056265984,0.0,0.566,0.068
1.0,1.0,12.0,0.2511848341232228,0.1627777777777778,0.0434782608695652,0.0,0.537,0.068
1.0,1.0,13.0,0.2717219589257504,0.2980555555555556,0.0230179028132992,0.0,0.499,0.052
1.0,1.0,14.0,0.2890995260663507,0.4244444444444445,0.0281329923273657,0.0,0.47,0.06
1.0,1.0,15.0,0.2764612954186414,0.4688888888888889,0.0255754475703324,0.0,0.503,0.068
1.0,1.0,16.0,0.2417061611374407,0.0,0.0051150895140664,0.0,0.554,0.048
1.0,1.0,17.0,0.2353870458135861,0.6183333333333333,0.0281329923273657,0.0,0.62,0.072
1.0,1.0,18.0,0.2480252764612954,0.5888888888888889,0.0332480818414322,0.0,0.627,0.068
1.0,1.0,19.0,0.2543443917851501,0.5277777777777778,0.0332480818414322,0.0,0.657,0.084
1.0,1.0,20.0,0.2527646129541864,0.5919444444444445,0.0153452685421994,0.0,0.6689999999999999,0.064
1.0,1.0,21.0,0.2575039494470774,0.5572222222222222,0.0153452685421994,0.0,0.648,0.032
1.0,1.0,22.0,0.2622432859399684,0.7433333333333334,0.0153452685421994,0.0,0.6589999999999999,0.04
1.0,1.0,23.0,0.2669826224328594,0.2147222222222222,0.0127877237851662,0.0,0.677,0.04
1.0,2.0,0.0,0.2622432859399684,0.0486111111111111,0.0153452685421994,0.0,0.735,0.052
1.0,2.0,1.0,0.2638230647709321,0.0,0.0102301790281329,0.0,0.775,0.048
1.0,2.0,2.0,0.2669826224328594,0.5486111111111112,0.0204603580562659,0.0,0.807,0.064
1.0,2.0,3.0,0.2654028436018957,0.0230555555555555,0.0230179028132992,0.0,0.8089999999999999,0.06
1.0,2.0,4.0,0.2669826224328594,0.9441666666666666,0.0153452685421994,0.0,0.8220000000000001,0.06
1.0,2.0,5.0,0.2669826224328594,0.0,0.0076726342710997,0.0,0.828,0.088
1.0,2.0,6.0,0.2669826224328594,0.0166666666666666,0.0230179028132992,0.0,0.8350000000000001,0.088
1.0,2.0,7.0,0.2875197472353871,0.0,0.0051150895140664,0.0,0.816,0.076
1.0,2.0,8.0,0.3127962085308057,0.335,0.0153452685421994,0.0,0.699,0.088
1.0,2.0,9.0,0.3364928909952607,0.2583333333333333,0.0255754475703324,0.0,0.611,0.104
1.0,2.0,10.0,0.3554502369668246,0.0713888888888888,0.0306905370843989,0.0,0.586,0.136
1.0,2.0,11.0,0.3665086887835703,0.0494444444444444,0.0460358056265984,0.0,0.596,0.144
1.0,2.0,12.0,0.3917851500789889,0.0608333333333333,0.0434782608695652,0.0,0.5640000000000001,0.148
1.0,2.0,13.0,0.3933649289099526,0.9316666666666666,0.0332480818414322,0.0,0.603,0.16
1.0,2.0,14.0,0.3933649289099526,0.0394444444444444,0.0281329923273657,0.0,0.588,0.168
1.0,2.0,15.0,0.3617693522906793,0.9469444444444444,0.0434782608695652,0.0,0.66,0.18
1.0,2.0,16.0,0.3412322274881517,0.9658333333333332,0.0358056265984654,0.0,0.739,0.2
1.0,2.0,17.0,0.3175355450236967,0.0,0.0102301790281329,0.0,0.765,0.252
1.0,2.0,18.0,0.3143759873617693,0.8019444444444445,0.0179028132992327,0.0,0.81,0.224
1.0,2.0,19.0,0.2938388625592417,0.5422222222222222,0.0358056265984654,0.0,0.834,0.232
1.0,2.0,20.0,0.3001579778830964,0.5783333333333334,0.0255754475703324,0.0,0.854,0.244
1.0,2.0,21.0,0.2906793048973144,0.5452777777777779,0.0332480818414322,0.0,0.866,0.212
1.0,2.0,22.0,0.2748815165876777,0.3075,0.0179028132992327,0.0,0.868,0.188
1.0,2.0,23.0,0.2748815165876777,0.5572222222222222,0.0127877237851662,0.0,0.8720000000000001,0.176
1.0,3.0,0.0,0.2527646129541864,0.5558333333333333,0.0179028132992327,0.0,0.874,0.204
1.0,3.0,1.0,0.2464454976303317,0.0,0.0025575447570332,0.0,0.871,0.18
1.0,3.0,2.0,0.2306477093206951,0.5152777777777778,0.0306905370843989,0.0,0.864,0.172
1.0,3.0,3.0,0.2259083728278041,0.4066666666666667,0.0127877237851662,0.0,0.859,0.22
1.0,3.0,4.0,0.2274881516587678,0.6202777777777778,0.0179028132992327,0.0,0.849,0.232
1.0,3.0,5.0,0.2164296998420221,0.3272222222222222,0.0230179028132992,0.0,0.849,0.2
