월,일,시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%),PM2.5
1.0,1.0,0.0,0.1769352290679305,0.0,0.0,0.0,0.831,0.052
1.0,1.0,1.0,0.1706161137440758,0.0,0.0,0.0,0.855,0.064
1.0,1.0,2.0,0.1911532385466034,0.135,0.0153452685421994,0.0,0.8109999999999999,0.072
1.0,1.0,3.0,0.1879936808846761,0.0,0.0102301790281329,0.0,0.766,0.072
1.0,1.0,4.0,0.1879936808846761,0.2838888888888889,0.0153452685421994,0.0,0.741,0.052
1.0,1.0,5.0,0.1500789889415481,0.0,0.0025575447570332,0.0,0.8109999999999999,0.064
1.0,1.0,6.0,0.1248025276461295,0.0,0.0076726342710997,0.0,0.8170000000000001,0.072
1.0,1.0,7.0,0.1469194312796208,0.4130555555555555,0.0179028132992327,0.0,0.808,0.1
1.0,1.0,8.0,0.2037914691943128,0.0,0.0025575447570332,0.0,0.6759999999999999,0.064
1.0,1.0,9.0,0.2195892575039494,0.6783333333333333,0.0230179028132992,0.0,0.594,0.044
1.0,1.0,10.0,0.2369668246445497,0.8524999999999999,0.0255754475703324,0.0,0.549,0.052
1.0,1.0,11.0,0.2559241706161137,0.9075,0.0255754475703324,0.0,0.507,0.076
1.0,1.0,12.0,0.2701421800947867,0.8827777777777779,0.0383631713554987,0.0,0.498,0.056
1.0,1.0,13.0,0.2796208530805687,0.0575,0.0434782608695652,0.0,0.479,0.06
1.0,1.0,14.0,0.2812006319115324,0.7894444444444444,0.0281329923273657,0.0,0.48,0.064
1.0,1.0,15.0,0.2543443917851501,0.0,0.0051150895140664,0.0,0.599,0.06
1.0,1.0,16.0,0.2290679304897314,0.0,0.0,0.0,0.723,0.068
1.0,1.0,17.0,0.2164296998420221,0.0,0.0025575447570332,0.0,0.765,0.088
1.0,1.0,18.0,0.2274881516587678,0.0,0.0,0.0,0.773,0.108
1.0,1.0,19.0,0.2464454976303317,0.0,0.0051150895140664,0.0,0.753,0.084
1.0,1.0,20.0,0.2622432859399684,0.0,0.0,0.0,0.7370000000000001,0.048
1.0,1.0,21.0,0.2638230647709321,0.0,0.0,0.0,0.768,0.052
1.0,1.0,22.0,0.2669826224328594,0.0,0.0,0.0,0.7739999999999999,0.048
1.0,1.0,23.0,0.2717219589257504,0.0,0.0,0.0,0.798,0.036
1.0,2.0,0.0,0.273301737756714,0.0,0.0,0.0,0.8009999999999999,0.044
1.0,2.0,1.0,0.2764612954186414,0.0,0.0,0.0,0.8250000000000001,0.068
1.0,2.0,2.0,0.2748815165876777,0.0,0.0051150895140664,0.0,0.873,0.092
1.0,2.0,3.0,0.273301737756714,0.1886111111111111,0.0153452685421994,0.0,0.888,0.104
1.0,2.0,4.0,0.2748815165876777,0.0,0.0076726342710997,0.0,0.897,0.084
1.0,2.0,5.0,0.278041074249605,0.0,0.0025575447570332,0.0,0.901,0.1
1.0,2.0,6.0,0.2796208530805687,0.0,0.0,0.0,0.905,0.1
1.0,2.0,7.0,0.2875197472353871,0.0,0.0,0.0,0.893,0.112
1.0,2.0,8.0,0.306477093206951,0.0,0.0102301790281329,0.0,0.851,0.128
1.0,2.0,9.0,0.3317535545023697,0.2525,0.0255754475703324,0.0,0.777,0.136
1.0,2.0,10.0,0.3665086887835703,0.2116666666666666,0.0127877237851662,0.0,0.6839999999999999,0.172
1.0,2.0,11.0,0.3902053712480253,0.1702777777777777,0.0281329923273657,0.0,0.66,0.16
1.0,2.0,12.0,0.406003159557662,0.946388888888889,0.0332480818414322,0.0,0.6,0.164
1.0,2.0,13.0,0.4186413902053713,0.7769444444444444,0.0179028132992327,0.0,0.586,0.136
1.0,2.0,14.0,0.4281200631911532,0.8663888888888889,0.0204603580562659,0.0,0.566,0.148
1.0,2.0,15.0,0.3981042654028436,0.9311111111111112,0.0179028132992327,0.0,0.6739999999999999,0.136
1.0,2.0,16.0,0.3475513428120063,0.0,0.0,0.0,0.843,0.156
1.0,2.0,17.0,0.325434439178515,0.0,0.0,0.0,0.896,0.204
1.0,2.0,18.0,0.3143759873617693,0.0,0.0051150895140664,0.0,0.922,0.208
1.0,2.0,19.0,0.306477093206951,0.0,0.0,0.0,0.924,0.224
1.0,2.0,20.0,0.2906793048973144,0.0,0.0051150895140664,0.0,0.928,0.208
1.0,2.0,21.0,0.2843601895734597,0.0,0.0,0.0,0.929,0.22
1.0,2.0,22.0,0.278041074249605,0.0,0.0,0.0,0.929,0.236
1.0,2.0,23.0,0.2748815165876777,0.0,0.0,0.0,0.928,0.232
1.0,3.0,0.0,0.2622432859399684,0.0,0.0,0.0,0.928,0.248
1.0,3.0,1.0,0.2606635071090047,0.0,0.0,0.0,0.925,0.24
1.0,3.0,2.0,0.2622432859399684,0.0,0.0,0.0,0.928,0.244
1.0,3.0,3.0,0.2590837282780411,0.0,0.0,0.0,0.926,0.236
1.0,3.0,4.0,0.2417061611374407,0.0,0.0,0.0,0.907,0.228
1.0,3.0,5.0,0.244865718799368,0.0,0.0,0.0,0.921,0.232
1.0,3.0,6.0,0.2417061611374407,0.0,0.0025575447570332,0.0,0.923,0.22
1.0,3.0,7.0,0.2638230647709321,0.0,0.0025575447570332,0.0,0.924,0.236
1.0,3.0,8.0,0.3238546603475514,0.5694444444444444,0.0230179028132992,0.0,0.922,0.312
1.0,3.0,9.0,0.3601895734597157,0.6211111111111112,0.0255754475703324,0.0,0.7839999999999999,0.288
1.0,3.0,10.0,0.3981042654028436,0.0,0.0051150895140664,0.0,0.641,0.228
1.0,3.0,11.0,0.4328593996840443,0.6888888888888889,0.0153452685421994,0.0,0.538,0.208
1.0,3.0,12.0,0.4454976303317536,0.6077777777777779,0.0255754475703324,0.0,0.4659999999999999,0.184
1.0,3.0,13.0,0.4676145339652449,0.6705555555555556,0.0255754475703324,0.0,0.503,0.128
1.0,3.0,14.0,0.4375987361769353,0.9730555555555556,0.0485933503836317,0.0,0.607,0.104
1.0,3.0,15.0,0.4186413902053713,0.0,0.0,0.0,0.739,0.084
1.0,3.0,16.0,0.39652448657188,0.0,0.0025575447570332,0.0,0.814,0.22
1.0,3.0,17.0,0.3744075829383886,0.0,0.0051150895140664,0.0,0.8939999999999999,0.276
1.0,3.0,18.0,0.3570300157977883,0.0,0.0,0.0,0.925,0.256
1.0,3.0,19.0,0.3665086887835703,0.0,0.0025575447570332,0.0,0.924,0.26
1.0,3.0,20.0,0.372827804107425,0.0,0.0025575447570332,0.0,0.928,0.248
1.0,3.0,21.0,0.3886255924170616,0.2066666666666667,0.0153452685421994,0.0,0.8889999999999999,0.248
1.0,3.0,22.0,0.3696682464454977,0.0,0.0,0.0,0.929,0.232
1.0,3.0,23.0,0.377567140600316,0.0,0.0102301790281329,0.0,0.929,0.224
1.0,4.0,0.0,0.3933649289099526,0.0,0.0076726342710997,0.0,0.907,0.252
1.0,4.0,1.0,0.3886255924170616,0.0,0.0,0.0,0.926,0.276
1.0,4.0,2.0,0.3917851500789889,0.0,0.0,0.0,0.93,0.264
1.0,4.0,3.0,0.3807266982622433,0.0,0.0,0.0,0.935,0.232
1.0,4.0,4.0,0.406003159557662,0.5994444444444444,0.0153452685421994,0.0,0.927,0.248
1.0,4.0,5.0,0.4486571879936809,0.5519444444444445,0.0255754475703324,0.0,0.839,0.328
1.0,4.0,6.0,0.4470774091627172,0.6772222222222223,0.0179028132992327,0.0,0.912,0.18
1.0,4.0,7.0,0.4755134281200632,0.5588888888888889,0.0409207161125319,0.0,0.8320000000000001,0.136
1.0,4.0,8.0,0.4786729857819906,0.5680555555555555,0.0434782608695652,0.0,0.8130000000000001,0.092
1.0,4.0,9.0,0.4976303317535545,0.4611111111111111,0.0306905370843989,0.0,0.733,0.112
1.0,4.0,10.0,0.5039494470774092,0.6161111111111112,0.0664961636828644,0.0,0.6709999999999999,0.108
1.0,4.0,11.0,0.5071090047393365,0.8194444444444445,0.0537084398976982,0.0,0.621,0.092
1.0,4.0,12.0,0.5118483412322276,0.9477777777777778,0.0332480818414322,0.0,0.589,0.104
1.0,4.0,13.0,0.5181674565560822,0.8769444444444444,0.0255754475703324,0.0,0.4509999999999999,0.152
1.0,4.0,14.0,0.5197472353870458,0.8447222222222223,0.0306905370843989,0.0,0.385,0.164
1.0,4.0,15.0,0.4881516587677725,0.0925,0.0332480818414322,0.0,0.601,0.168
1.0,4.0,16.0,0.406003159557662,0.0,0.0102301790281329,0.0,0.8320000000000001,0.18
1.0,4.0,17.0,0.3949447077409163,0.0,0.0025575447570332,0.0,0.88,0.22
1.0,4.0,18.0,0.4044233807266983,0.0,0.0025575447570332,0.0,0.875,0.244
1.0,4.0,19.0,0.3902053712480253,0.0,0.0,0.0,0.8989999999999999,0.248
1.0,4.0,20.0,0.3838862559241706,0.0,0.0051150895140664,0.0,0.916,0.28
1.0,4.0,21.0,0.382306477093207,0.0,0.0051150895140664,0.0,0.931,0.284
1.0,4.0,22.0,0.3712480252764613,0.0,0.0,0.0,0.936,0.284
1.0,4.0,23.0,0.368088467614534,0.0,0.0051150895140664,0.0,0.943,0.276
1.0,5.0,0.0,0.3554502369668246,0.0,0.0,0.0,0.943,0.284
1.0,5.0,1.0,0.3601895734597157,0.0,0.0102301790281329,0.0,0.944,0.292
1.0,5.0,2.0,0.3712480252764613,0.0,0.0,0.0,0.947,0.284
1.0,5.0,3.0,0.3649289099526067,0.0,0.0025575447570332,0.0,0.947,0.252
1.0,5.0,4.0,0.3712480252764613,0.2455555555555555,0.0179028132992327,0.0,0.947,0.264
1.0,5.0,5.0,0.377567140600316,0.0,0.0025575447570332,0.0,0.947,0.344
1.0,5.0,6.0,0.377567140600316,0.0,0.0,0.0,0.946,0.296
1.0,5.0,7.0,0.3902053712480253,0.0,0.0,0.0,0.946,0.328
1.0,5.0,8.0,0.4123222748815166,0.0,0.0,0.0,0.936,0.3
1.0,5.0,9.0,0.4518167456556082,0.1833333333333333,0.0255754475703324,0.0,0.8150000000000001,0.324
1.0,5.0,10.0,0.4723538704581359,0.0,0.0,0.0,0.739,0.356
1.0,5.0,11.0,0.4739336492890995,0.8502777777777779,0.0230179028132992,0.0,0.739,0.348
1.0,5.0,12.0,0.4802527646129542,0.0,0.0076726342710997,0.0,0.7200000000000001,0.296
1.0,5.0,13.0,0.4786729857819906,0.9394444444444444,0.0127877237851662,0.0,0.673,0.328
1.0,5.0,14.0,0.4723538704581359,0.1041666666666666,0.0153452685421994,0.0,0.73,0.284
1.0,5.0,15.0,0.4533965244865719,0.6061111111111112,0.0281329923273657,0.0,0.885,0.288
1.0,5.0,16.0,0.4328593996840443,0.0,0.0025575447570332,0.0056818181818181,0.944,0.18
1.0,5.0,17.0,0.4312796208530806,0.37,0.0255754475703324,0.0170454545454545,0.925,0.08
1.0,5.0,18.0,0.4296998420221169,0.8016666666666667,0.0179028132992327,0.0,0.938,0.072
1.0,5.0,19.0,0.4186413902053713,0.0,0.0,0.0,0.943,0.068
1.0,5.0,20.0,0.4296998420221169,0.0,0.0076726342710997,0.0,0.941,0.08
1.0,5.0,21.0,0.4265402843601896,0.0,0.0051150895140664,0.0,0.942,0.088
1.0,5.0,22.0,0.4186413902053713,0.0,0.0,0.0,0.947,0.1
1.0,5.0,23.0,0.4233807266982622,0.0,0.0102301790281329,0.0,0.951,0.088
1.0,6.0,0.0,0.4218009478672986,0.0,0.0,0.0056818181818181,0.951,0.112
1.0,6.0,1.0,0.4170616113744076,0.0,0.0025575447570332,0.0170454545454545,0.955,0.104
1.0,6.0,2.0,0.4170616113744076,0.1791666666666666,0.0230179028132992,0.0284090909090909,0.956,0.128
1.0,6.0,3.0,0.4170616113744076,0.1633333333333333,0.0255754475703324,0.0227272727272727,0.958,0.132
1.0,6.0,4.0,0.4107424960505529,0.0,0.0,0.0170454545454545,0.956,0.132
1.0,6.0,5.0,0.4028436018957346,0.0,0.0051150895140664,0.0227272727272727,0.955,0.12
1.0,6.0,6.0,0.3996840442338073,0.0,0.0,0.0113636363636363,0.955,0.132
1.0,6.0,7.0,0.406003159557662,0.0,0.0102301790281329,0.0056818181818181,0.956,0.144
1.0,6.0,8.0,0.4265402843601896,0.0,0.0102301790281329,0.0,0.954,0.136
1.0,6.0,9.0,0.4265402843601896,0.8086111111111112,0.0230179028132992,0.0,0.948,0.124
1.0,6.0,10.0,0.4281200631911532,0.798888888888889,0.0153452685421994,0.0,0.945,0.14
1.0,6.0,11.0,0.4328593996840443,0.0,0.0,0.0,0.939,0.176
1.0,6.0,12.0,0.4439178515007899,0.0,0.0025575447570332,0.0,0.931,0.2
1.0,6.0,13.0,0.4470774091627172,0.2594444444444445,0.0204603580562659,0.0,0.928,0.192
1.0,6.0,14.0,0.4533965244865719,0.1483333333333333,0.0332480818414322,0.0,0.925,0.184
1.0,6.0,15.0,0.4470774091627172,0.3305555555555555,0.0511508951406649,0.0,0.929,0.156
1.0,6.0,16.0,0.4439178515007899,0.0,0.0,0.0,0.939,0.152
1.0,6.0,17.0,0.4344391785150079,0.6719444444444445,0.0153452685421994,0.0,0.948,0.16
1.0,6.0,18.0,0.4233807266982622,0.0,0.0,0.0,0.953,0.144
1.0,6.0,19.0,0.4091627172195893,0.0,0.0,0.0,0.955,0.128
1.0,6.0,20.0,0.3996840442338073,0.0,0.0051150895140664,0.0,0.955,0.144
1.0,6.0,21.0,0.4139020537124803,0.0,0.0102301790281329,0.0,0.954,0.168
1.0,6.0,22.0,0.4107424960505529,0.0,0.0,0.0,0.958,0.256
1.0,6.0,23.0,0.4075829383886256,0.0,0.0025575447570332,0.0,0.956,0.368
