월,일,시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%),PM2.5
1.0,1.0,0.0,0.2116903633491311,0.9530555555555555,0.0332480818414322,0.0,0.7909999999999999,0.052
1.0,1.0,1.0,0.2053712480252764,0.0455555555555555,0.0281329923273657,0.0,0.771,0.088
1.0,1.0,2.0,0.1990521327014218,0.8908333333333334,0.0281329923273657,0.0,0.733,0.048
1.0,1.0,3.0,0.1943127962085308,0.1141666666666666,0.0434782608695652,0.0,0.7739999999999999,0.052
1.0,1.0,4.0,0.1943127962085308,0.1308333333333333,0.0255754475703324,0.0,0.7000000000000001,0.088
1.0,1.0,5.0,0.1943127962085308,0.9077777777777778,0.0255754475703324,0.0,0.682,0.064
1.0,1.0,6.0,0.1816745655608214,0.0,0.0102301790281329,0.0,0.728,0.068
1.0,1.0,7.0,0.1943127962085308,0.5361111111111111,0.0153452685421994,0.0,0.7000000000000001,0.076
1.0,1.0,8.0,0.2369668246445497,0.49,0.0153452685421994,0.0,0.5800000000000001,0.08
1.0,1.0,9.0,0.2606635071090047,0.2727777777777778,0.0179028132992327,0.0,0.526,0.068
1.0,1.0,10.0,0.2764612954186414,0.6963888888888888,0.0409207161125319,0.0,0.421,0.068
1.0,1.0,11.0,0.2796208530805687,0.8027777777777778,0.0639386189258312,0.0,0.4009999999999999,0.064
1.0,1.0,12.0,0.2843601895734597,0.9855555555555556,0.0511508951406649,0.0,0.439,0.04
1.0,1.0,13.0,0.3080568720379147,0.7394444444444445,0.0409207161125319,0.0,0.382,0.068
1.0,1.0,14.0,0.3080568720379147,0.7027777777777778,0.0613810741687979,0.0,0.389,0.06
1.0,1.0,15.0,0.2938388625592417,0.7616666666666667,0.0332480818414322,0.0,0.384,0.064
1.0,1.0,16.0,0.2859399684044234,0.7744444444444445,0.0204603580562659,0.0,0.4009999999999999,0.052
1.0,1.0,17.0,0.2717219589257504,0.535,0.0230179028132992,0.0,0.469,0.06
