월,일,시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%),PM2.5
1.0,1.0,0.0,0.1990521327014218,0.0,0.0025575447570332,0.0,0.865,0.072
1.0,1.0,1.0,0.1879936808846761,0.2808333333333333,0.0818414322250639,0.0,0.875,0.076
1.0,1.0,2.0,0.1800947867298578,0.2755555555555555,0.0664961636828644,0.0,0.87,0.08
1.0,1.0,3.0,0.1769352290679305,0.2591666666666666,0.0332480818414322,0.0,0.8520000000000001,0.076
1.0,1.0,4.0,0.1611374407582938,0.2572222222222222,0.0204603580562659,0.0,0.8820000000000001,0.096
1.0,1.0,5.0,0.1500789889415481,0.2938888888888888,0.0434782608695652,0.0,0.898,0.088
1.0,1.0,6.0,0.1516587677725118,0.2372222222222222,0.0179028132992327,0.0,0.876,0.1
1.0,1.0,7.0,0.1785150078988941,0.3252777777777778,0.0434782608695652,0.0,0.8450000000000001,0.128
1.0,1.0,8.0,0.1943127962085308,0.2975,0.0537084398976982,0.0,0.7959999999999999,0.152
1.0,1.0,9.0,0.2164296998420221,0.3461111111111111,0.0613810741687979,0.0,0.731,0.128
1.0,1.0,10.0,0.2306477093206951,0.2705555555555556,0.0818414322250639,0.0,0.6920000000000001,0.12457278370857239
1.0,1.0,11.0,0.244865718799368,0.2688888888888889,0.0690537084398977,0.0,0.6539999999999999,0.088
1.0,1.0,12.0,0.2543443917851501,0.2772222222222222,0.0613810741687979,0.0,0.668,0.092
1.0,1.0,13.0,0.2575039494470774,0.3105555555555556,0.0588235294117647,0.0,0.662,0.076
1.0,1.0,14.0,0.2701421800947867,0.2847222222222222,0.0358056265984654,0.0,0.632,0.092
1.0,1.0,15.0,0.2654028436018957,0.265,0.0179028132992327,0.0,0.621,0.084
1.0,1.0,16.0,0.2369668246445497,0.0,0.0,0.0,0.726,0.072
1.0,1.0,17.0,0.2243285939968404,0.0,0.0,0.0,0.785,0.112
1.0,1.0,18.0,0.2195892575039494,0.8047222222222222,0.0332480818414322,0.0,0.828,0.164
1.0,1.0,19.0,0.2527646129541864,0.0,0.0,0.0,0.6689999999999999,0.168
1.0,1.0,20.0,0.2417061611374407,0.0,0.0,0.0,0.734,0.148
1.0,1.0,21.0,0.2511848341232228,0.0,0.0,0.0,0.733,0.1456717550754547
1.0,1.0,22.0,0.2527646129541864,0.2369444444444444,0.0434782608695652,0.0,0.7839999999999999,0.09219974279403687
1.0,1.0,23.0,0.2559241706161137,0.2447222222222222,0.0179028132992327,0.0,0.848,0.132
1.0,2.0,0.0,0.2622432859399684,0.2952777777777778,0.0204603580562659,0.0,0.861,0.168
1.0,2.0,1.0,0.2638230647709321,0.0,0.0,0.0,0.902,0.124
1.0,2.0,2.0,0.2622432859399684,0.0,0.0,0.0,0.944,0.1
1.0,2.0,3.0,0.2654028436018957,0.0,0.0,0.0,0.953,0.108
1.0,2.0,4.0,0.2669826224328594,0.0,0.0,0.0,0.956,0.1
1.0,2.0,5.0,0.2701421800947867,0.0,0.0,0.0,0.959,0.108
1.0,2.0,6.0,0.2701421800947867,0.2722222222222222,0.0409207161125319,0.0,0.956,0.116
1.0,2.0,7.0,0.282780410742496,0.0,0.0,0.0,0.941,0.132
1.0,2.0,8.0,0.2985781990521327,0.2997222222222222,0.0281329923273657,0.0,0.8770000000000001,0.132
1.0,2.0,9.0,0.3238546603475514,0.3322222222222222,0.0332480818414322,0.0,0.816,0.14
1.0,2.0,10.0,0.3791469194312796,0.3277777777777778,0.0306905370843989,0.0,0.709,0.168
1.0,2.0,11.0,0.4281200631911532,0.7077777777777778,0.0383631713554987,0.0,0.64,0.184
1.0,2.0,12.0,0.4265402843601896,0.8083333333333333,0.0562659846547314,0.0,0.577,0.212
1.0,2.0,13.0,0.3854660347551343,0.3194444444444445,0.0511508951406649,0.0,0.701,0.12
1.0,2.0,14.0,0.3838862559241706,0.2838888888888889,0.0537084398976982,0.0,0.733,0.184
1.0,2.0,15.0,0.3744075829383886,0.2872222222222222,0.0306905370843989,0.0,0.7370000000000001,0.22
1.0,2.0,16.0,0.3554502369668246,0.6727777777777778,0.0204603580562659,0.0,0.821,0.228
1.0,2.0,17.0,0.344391785150079,0.3161111111111111,0.0230179028132992,0.0,0.863,0.256
1.0,2.0,18.0,0.330173775671406,0.0,0.0,0.0,0.91,0.308
1.0,2.0,19.0,0.3143759873617693,0.0,0.0,0.0,0.922,0.32
1.0,2.0,20.0,0.3270142180094787,0.0,0.0,0.0,0.933,0.296
1.0,2.0,21.0,0.315955766192733,0.0,0.0,0.0,0.977,0.3
1.0,2.0,22.0,0.296998420221169,0.0,0.0,0.0,0.976,0.384
1.0,2.0,23.0,0.3143759873617693,0.0,0.0,0.0,0.977,0.404
1.0,3.0,0.0,0.2985781990521327,0.0,0.0,0.0,0.977,0.352
1.0,3.0,1.0,0.306477093206951,0.0,0.0025575447570332,0.0,0.973,0.336
1.0,3.0,2.0,0.3033175355450237,0.0,0.0,0.0,0.977,0.328
1.0,3.0,3.0,0.2938388625592417,0.0,0.0,0.0,0.97,0.308
1.0,3.0,4.0,0.2875197472353871,0.0,0.0,0.0,0.977,0.336
1.0,3.0,5.0,0.2954186413902054,0.0,0.0,0.0,0.971,0.34
1.0,3.0,6.0,0.315955766192733,0.2191666666666667,0.0230179028132992,0.0,0.936,0.328
1.0,3.0,7.0,0.3380726698262243,0.2380555555555555,0.0332480818414322,0.0,0.839,0.22310581803321838
1.0,3.0,8.0,0.363349131121643,0.2919444444444444,0.0434782608695652,0.0,0.79,0.332
1.0,3.0,9.0,0.3854660347551343,0.3375,0.0204603580562659,0.0,0.6920000000000001,0.4
1.0,3.0,10.0,0.4218009478672986,0.0,0.0,0.0,0.62,0.364
1.0,3.0,11.0,0.4344391785150079,0.0,0.0,0.0,0.618,0.228
1.0,3.0,12.0,0.4470774091627172,0.4597222222222222,0.0588235294117647,0.0,0.5519999999999999,0.248
