연도,일시,측정소,PM2.5
4,01-03 00:00,공주,0.0624116
4,01-03 01:00,공주,0.0493172
4,01-03 02:00,공주,0.0531103
4,01-03 03:00,공주,0.0561799
4,01-03 04:00,공주,0.0560105
4,01-03 05:00,공주,0.0605307
4,01-03 06:00,공주,0.0635426
4,01-03 07:00,공주,0.069646
4,01-03 08:00,공주,0.0622654
4,01-03 09:00,공주,0.0797062
4,01-03 10:00,공주,0.0564065
4,01-03 11:00,공주,0.0419433
4,01-03 12:00,공주,0.0642693
4,01-03 13:00,공주,0.0260706
4,01-03 14:00,공주,0.0411475
4,01-03 15:00,공주,0.0189578
4,01-03 16:00,공주,0.0297171
4,01-03 17:00,공주,0.0170782
4,01-03 18:00,공주,0.0327976
4,01-03 19:00,공주,0.0406537
4,01-03 20:00,공주,0.0502976
4,01-03 21:00,공주,0.0449007
4,01-03 22:00,공주,0.049096
4,01-03 23:00,공주,0.0515381
4,01-04 00:00,공주,0.0595026
4,01-04 01:00,공주,0.0499817
4,01-04 02:00,공주,0.0518417
4,01-04 03:00,공주,0.0506504
4,01-04 04:00,공주,0.0633735
4,01-04 05:00,공주,0.0663236
4,01-04 06:00,공주,0.0630485
4,01-04 07:00,공주,0.0640348
4,01-04 08:00,공주,0.0685009
4,01-04 09:00,공주,0.0738391
4,01-04 10:00,공주,0.0461552
4,01-04 11:00,공주,0.0455232
4,01-04 12:00,공주,0.0259046
4,01-04 13:00,공주,0.0262663
4,01-04 14:00,공주,0.0300611
4,01-04 15:00,공주,0.0487904
4,01-04 16:00,공주,0.0498775
4,01-04 17:00,공주,0.0366566
4,01-04 18:00,공주,0.0261803
4,01-04 19:00,공주,0.0440731
4,01-04 20:00,공주,0.0450396
4,01-04 21:00,공주,0.0418878
4,01-04 22:00,공주,0.0464964
4,01-04 23:00,공주,0.0594151
4,01-05 00:00,공주,0.0617248
4,01-05 01:00,공주,0.0695899
4,01-05 02:00,공주,0.059221
4,01-05 03:00,공주,0.0392529
4,01-05 04:00,공주,0.0493037
4,01-05 05:00,공주,0.0531324
4,01-05 06:00,공주,0.05292
4,01-05 07:00,공주,0.0571384
4,01-05 08:00,공주,0.0745598
4,01-05 09:00,공주,0.0468054
4,01-05 10:00,공주,0.049258
4,01-05 11:00,공주,0.0498741
4,01-05 12:00,공주,0.0251782
4,01-05 13:00,공주,0.0371522
4,01-05 14:00,공주,0.0413218
4,01-05 15:00,공주,0.0200377
4,01-05 16:00,공주,0.0264579
4,01-05 17:00,공주,0.0205178
4,01-05 18:00,공주,0.0103951
4,01-05 19:00,공주,0.0420227
4,01-05 20:00,공주,0.0428634
4,01-05 21:00,공주,0.0456618
4,01-05 22:00,공주,0.0464053
4,01-05 23:00,공주,0.0477578
4,01-08 00:00,공주,0.0481192
4,01-08 01:00,공주,0.0355186
4,01-08 02:00,공주,0.0372178
4,01-08 03:00,공주,0.0471015
4,01-08 04:00,공주,0.0294555
4,01-08 05:00,공주,0.0260871
4,01-08 06:00,공주,0.0754561
4,01-08 07:00,공주,0.0846484
4,01-08 08:00,공주,0.0848314
4,01-08 09:00,공주,0.1191247
4,01-08 10:00,공주,0.0996486
4,01-08 11:00,공주,0.0957761
4,01-08 12:00,공주,0.0904105
4,01-08 13:00,공주,0.0771366
4,01-08 14:00,공주,0.0807551
4,01-08 15:00,공주,0.0862283
4,01-08 16:00,공주,0.0690702
4,01-08 17:00,공주,0.0698034
4,01-08 18:00,공주,0.0750202
4,01-08 19:00,공주,0.1008185
4,01-08 20:00,공주,0.0806296
4,01-08 21:00,공주,0.0623429
4,01-08 22:00,공주,0.0473116
4,01-08 23:00,공주,0.0586244
4,01-09 00:00,공주,0.0538547
4,01-09 01:00,공주,0.0548441
4,01-09 02:00,공주,0.0507871
4,01-09 03:00,공주,0.0305914
4,01-09 04:00,공주,0.0463982
4,01-09 05:00,공주,0.0292124
4,01-09 06:00,공주,0.0950841
4,01-09 07:00,공주,0.10579
4,01-09 08:00,공주,0.1277606
4,01-09 09:00,공주,0.1184853
4,01-09 10:00,공주,0.138269
4,01-09 11:00,공주,0.104218
4,01-09 12:00,공주,0.0907563
4,01-09 13:00,공주,0.0921415
4,01-09 14:00,공주,0.0874575
4,01-09 15:00,공주,0.0789541
4,01-09 16:00,공주,0.0720187
4,01-09 17:00,공주,0.0858485
4,01-09 18:00,공주,0.1016952
4,01-09 19:00,공주,0.1010333
4,01-09 20:00,공주,0.0958137
4,01-09 21:00,공주,0.0898861
4,01-09 22:00,공주,0.0955682
4,01-09 23:00,공주,0.068371
4,01-10 00:00,공주,0.0705515
4,01-10 01:00,공주,0.0413559
4,01-10 02:00,공주,0.0680763
4,01-10 03:00,공주,0.0738472
4,01-10 04:00,공주,0.0743164
4,01-10 05:00,공주,0.0621656
4,01-10 06:00,공주,0.0966787
4,01-10 07:00,공주,0.0998099
4,01-10 08:00,공주,0.130487
4,01-10 09:00,공주,0.1263007
4,01-10 10:00,공주,0.1133115
4,01-10 11:00,공주,0.0809362
4,01-10 12:00,공주,0.0946408
4,01-10 13:00,공주,0.0930293
4,01-10 14:00,공주,0.0815075
4,01-10 15:00,공주,0.0836307
4,01-10 16:00,공주,0.0995997
4,01-10 17:00,공주,0.1186013
4,01-10 18:00,공주,0.0805459
4,01-10 19:00,공주,0.09939
4,01-10 20:00,공주,0.1219915
4,01-10 21:00,공주,0.1237964
4,01-10 22:00,공주,0.0636502
4,01-10 23:00,공주,0.1138891
4,01-13 00:00,공주,0.1766061
4,01-13 01:00,공주,0.164224
4,01-13 02:00,공주,0.1706888
4,01-13 03:00,공주,0.162321
4,01-13 04:00,공주,0.162321
4,01-13 05:00,공주,0.1425424
4,01-13 06:00,공주,0.1703437
4,01-13 07:00,공주,0.1963446
4,01-13 08:00,공주,0.2569307
4,01-13 09:00,공주,0.2473789
4,01-13 10:00,공주,0.2401604
4,01-13 11:00,공주,0.1891918
4,01-13 12:00,공주,0.1864279
4,01-13 13:00,공주,0.185922
4,01-13 14:00,공주,0.1939904
4,01-13 15:00,공주,0.2107134
4,01-13 16:00,공주,0.2173026
4,01-13 17:00,공주,0.2538333
4,01-13 18:00,공주,0.2485545
4,01-13 19:00,공주,0.2785905
4,01-13 20:00,공주,0.2617183
4,01-13 21:00,공주,0.2464153
4,01-13 22:00,공주,0.2287051
4,01-13 23:00,공주,0.2285604
4,01-14 00:00,공주,0.2106005
4,01-14 01:00,공주,0.2134264
4,01-14 02:00,공주,0.1989605
4,01-14 03:00,공주,0.1797556
4,01-14 04:00,공주,0.1902148
4,01-14 05:00,공주,0.1916986
4,01-14 06:00,공주,0.18532
4,01-14 07:00,공주,0.1923681
4,01-14 08:00,공주,0.2657117
4,01-14 09:00,공주,0.2615614
4,01-14 10:00,공주,0.2166043
4,01-14 11:00,공주,0.1994877
4,01-14 12:00,공주,0.1829066
4,01-14 13:00,공주,0.1809827
4,01-14 14:00,공주,0.1867079
4,01-14 15:00,공주,0.1919867
4,01-14 16:00,공주,0.2146209
4,01-14 17:00,공주,0.1881809
4,01-14 18:00,공주,0.1828791
4,01-14 19:00,공주,0.2180403
4,01-14 20:00,공주,0.2147078
4,01-14 21:00,공주,0.1596128
4,01-14 22:00,공주,0.1959696
4,01-14 23:00,공주,0.2002181
4,01-15 00:00,공주,0.2256111
