연도,일시,측정소,PM2.5
4,01-03 00:00,공주,0.127
4,01-03 01:00,공주,0.059
4,01-03 02:00,공주,0.085
4,01-03 03:00,공주,0.064
4,01-03 04:00,공주,0.061
4,01-03 05:00,공주,0.061
4,01-03 06:00,공주,0.075
4,01-03 07:00,공주,0.066
4,01-03 08:00,공주,0.041
4,01-03 09:00,공주,0.119
4,01-03 10:00,공주,0.085
4,01-03 11:00,공주,0.083
4,01-03 12:00,공주,0.055
4,01-03 13:00,공주,0.048
4,01-03 14:00,공주,0.056
4,01-03 15:00,공주,0.066
4,01-03 16:00,공주,0.057
4,01-03 17:00,공주,0.024
4,01-03 18:00,공주,0.089
4,01-03 19:00,공주,0.039
4,01-03 20:00,공주,0.061
4,01-03 21:00,공주,0.026
4,01-03 22:00,공주,0.049
4,01-03 23:00,공주,0.03
4,01-04 00:00,공주,0.051
4,01-04 01:00,공주,0.025
4,01-04 02:00,공주,0.078
4,01-04 03:00,공주,0.049
4,01-04 04:00,공주,0.081
4,01-04 05:00,공주,0.061
4,01-04 06:00,공주,0.087
4,01-04 07:00,공주,0.078
4,01-04 08:00,공주,0.084
4,01-04 09:00,공주,0.093
4,01-04 10:00,공주,0.094
4,01-04 11:00,공주,0.078
4,01-04 12:00,공주,0.056
4,01-04 13:00,공주,0.044
4,01-04 14:00,공주,0.049
4,01-04 15:00,공주,0.094
4,01-04 16:00,공주,0.058
4,01-04 17:00,공주,0.048
4,01-04 18:00,공주,0.029
4,01-04 19:00,공주,0.051
4,01-04 20:00,공주,0.045
4,01-04 21:00,공주,0.035
4,01-04 22:00,공주,0.011
4,01-04 23:00,공주,0.049
4,01-05 00:00,공주,0.032
4,01-05 01:00,공주,0.066
4,01-05 02:00,공주,0.056
4,01-05 03:00,공주,0.066
4,01-05 04:00,공주,0.075
4,01-05 05:00,공주,0.07
4,01-05 06:00,공주,0.06
4,01-05 07:00,공주,0.089
4,01-05 08:00,공주,0.099
4,01-05 09:00,공주,0.09
4,01-05 10:00,공주,0.088
4,01-05 11:00,공주,0.105
4,01-05 12:00,공주,0.058
4,01-05 13:00,공주,0.057
4,01-05 14:00,공주,0.057
4,01-05 15:00,공주,0.043
4,01-05 16:00,공주,0.061
4,01-05 17:00,공주,0.048
4,01-05 18:00,공주,0.058
4,01-05 19:00,공주,0.039
4,01-05 20:00,공주,0.066
4,01-05 21:00,공주,0.06
4,01-05 22:00,공주,0.019
4,01-05 23:00,공주,0.021
4,01-08 00:00,공주,0.055
4,01-08 01:00,공주,0.059
4,01-08 02:00,공주,0.072
4,01-08 03:00,공주,0.1
4,01-08 04:00,공주,0.062
4,01-08 05:00,공주,0.052
4,01-08 06:00,공주,0.072
4,01-08 07:00,공주,0.063
4,01-08 08:00,공주,0.122
4,01-08 09:00,공주,0.117
4,01-08 10:00,공주,0.129
4,01-08 11:00,공주,0.138
4,01-08 12:00,공주,0.076
4,01-08 13:00,공주,0.145
4,01-08 14:00,공주,0.141
4,01-08 15:00,공주,0.122
4,01-08 16:00,공주,0.135
4,01-08 17:00,공주,0.125
4,01-08 18:00,공주,0.102
4,01-08 19:00,공주,0.087
4,01-08 20:00,공주,0.049
4,01-08 21:00,공주,0.076
4,01-08 22:00,공주,0.125
4,01-08 23:00,공주,0.096
4,01-09 00:00,공주,0.065
4,01-09 01:00,공주,0.102
4,01-09 02:00,공주,0.054
4,01-09 03:00,공주,0.073
4,01-09 04:00,공주,0.052
4,01-09 05:00,공주,0.032
4,01-09 06:00,공주,0.095
4,01-09 07:00,공주,0.072
4,01-09 08:00,공주,0.073
4,01-09 09:00,공주,0.118
4,01-09 10:00,공주,0.103
4,01-09 11:00,공주,0.143
4,01-09 12:00,공주,0.107
4,01-09 13:00,공주,0.126
4,01-09 14:00,공주,0.156
4,01-09 15:00,공주,0.117
4,01-09 16:00,공주,0.116
4,01-09 17:00,공주,0.121
4,01-09 18:00,공주,0.082
4,01-09 19:00,공주,0.14
4,01-09 20:00,공주,0.09
4,01-09 21:00,공주,0.134
4,01-09 22:00,공주,0.124
4,01-09 23:00,공주,0.07
4,01-10 00:00,공주,0.084
4,01-10 01:00,공주,0.075
4,01-10 02:00,공주,0.074
4,01-10 03:00,공주,0.07
4,01-10 04:00,공주,0.059
4,01-10 05:00,공주,0.055
4,01-10 06:00,공주,0.078
4,01-10 07:00,공주,0.079
4,01-10 08:00,공주,0.088
4,01-10 09:00,공주,0.156
4,01-10 10:00,공주,0.121
4,01-10 11:00,공주,0.082
4,01-10 12:00,공주,0.157
4,01-10 13:00,공주,0.124
4,01-10 14:00,공주,0.091
4,01-10 15:00,공주,0.122
4,01-10 16:00,공주,0.14
4,01-10 17:00,공주,0.169
4,01-10 18:00,공주,0.118
4,01-10 19:00,공주,0.073
4,01-10 20:00,공주,0.115
4,01-10 21:00,공주,0.146
4,01-10 22:00,공주,0.081
4,01-10 23:00,공주,0.086
4,01-13 00:00,공주,0.166
