,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
10,0,30,0.0005998611450195312,0.0004897845816770382,0.0,0.0,1000,4,linear,,"{'C': 1000, 'degree': 4, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
52,0,30,0.000599813461303711,0.000489745802842997,0.00020003318786621094,0.0004000663757324219,1,,,1,"{'C': 1, 'gamma': 1}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,0.9583333333333334,0.9583333333333334,1.0,0.9833333333333334,0.02041241452319313
11,0,30,0.0003998279571533203,0.0004896872457665585,0.0005997180938720703,0.0004896677809060841,1000,5,linear,,"{'C': 1000, 'degree': 5, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,0,30,0.000799560546875,0.00039978035874948246,0.00019989013671875,0.0003997802734375,10,3,linear,,"{'C': 10, 'degree': 3, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4,0,30,0.00059967041015625,0.0004896289092330497,0.0005998611450195312,0.0004897846281002358,10,4,linear,,"{'C': 10, 'degree': 4, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5,0,30,0.00019998550415039061,0.00039997100830078123,0.00019998550415039061,0.0003999710083007812,10,5,linear,,"{'C': 10, 'degree': 5, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6,0,30,0.0007992744445800781,0.0003996373503038124,0.00019974708557128905,0.0003994941711425781,100,3,linear,,"{'C': 100, 'degree': 3, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7,0,30,0.0005995750427246094,0.0004895510962484968,0.00019989013671875,0.0003997802734375,100,4,linear,,"{'C': 100, 'degree': 4, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8,0,30,0.00059967041015625,0.0004896288395761052,0.00019993782043457032,0.00039987564086914064,100,5,linear,,"{'C': 100, 'degree': 5, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9,0,30,0.0007993698120117188,0.0003996849060058594,0.0,0.0,1000,3,linear,,"{'C': 1000, 'degree': 3, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
