,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
73,2,1225,0.02458491325378418,0.0016241734293022609,0.013392210006713867,0.0004895899137254485,100,,rbf,0.0001,"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",0.9918367346938776,0.9836734693877551,0.9918032786885246,0.9795081967213115,0.9754098360655737,0.9844463031114087,0.0065632838118159864,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
74,2,1225,0.024584579467773437,0.0007996202346039025,0.014191865921020508,0.00039958956702512217,10,,rbf,0.0001,"{'C': 10, 'gamma': 0.0001, 'kernel': 'rbf'}",0.9877551020408163,0.9795918367346939,0.9959016393442623,0.9795081967213115,0.9754098360655737,0.9836333221813316,0.0073277099259273035,2,0.9969356486210419,0.9969356486210419,0.996938775510204,0.9989795918367347,0.9979591836734694,0.9975497696524984,0.0008172654946312427
71,2,1225,0.019587898254394533,0.0014961212812639008,0.005396747589111328,0.0013558052939881065,10,4,linear,,"{'C': 10, 'degree': 4, 'kernel': 'linear'}",0.9877551020408163,0.9795918367346939,0.9836065573770492,0.9836065573770492,0.9672131147540983,0.9803546336567415,0.007059721329937932,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
70,2,1225,0.01898808479309082,0.0012648196844766103,0.004797506332397461,0.0011653699810722329,1000,5,linear,,"{'C': 1000, 'degree': 5, 'kernel': 'linear'}",0.9877551020408163,0.9795918367346939,0.9836065573770492,0.9836065573770492,0.9672131147540983,0.9803546336567415,0.007059721329937932,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
72,2,1225,0.01878829002380371,0.0021346043854376454,0.004596996307373047,0.0004896290717658815,1,3,linear,,"{'C': 1, 'degree': 3, 'kernel': 'linear'}",0.9877551020408163,0.9795918367346939,0.9836065573770492,0.9836065573770492,0.9672131147540983,0.9803546336567415,0.007059721329937932,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
68,1,350,0.005795717239379883,0.0003995900222393013,0.0025986194610595702,0.0004897653295976656,10,,rbf,0.0001,"{'C': 10, 'gamma': 0.0001, 'kernel': 'rbf'}",0.9857142857142858,0.9857142857142858,0.9420289855072463,0.927536231884058,0.9420289855072463,0.9566045548654245,0.02435000905694064,6,0.996415770609319,0.996415770609319,0.9964285714285714,1.0,0.9964285714285714,0.9971377368151562,0.001431143042125002
69,1,350,0.005795764923095703,0.0003992569627359661,0.0021983623504638673,0.00040035284718409683,100,,rbf,0.0001,"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",0.9857142857142858,0.9857142857142858,0.927536231884058,0.927536231884058,0.9420289855072463,0.9537060041407868,0.02666505916994352,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
54,1,350,0.004996299743652344,0.0006318067334683412,0.0011995315551757812,0.0003995658496490155,1,5,linear,,"{'C': 1, 'degree': 5, 'kernel': 'linear'}",0.9714285714285714,0.9714285714285714,0.927536231884058,0.9130434782608695,0.9130434782608695,0.939296066252588,0.02676447733347433,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
55,1,350,0.004397344589233398,0.0004895317281582197,0.0011993408203125,0.0003996615868394157,1000,4,linear,,"{'C': 1000, 'degree': 4, 'kernel': 'linear'}",0.9714285714285714,0.9714285714285714,0.927536231884058,0.9130434782608695,0.9130434782608695,0.939296066252588,0.02676447733347433,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
56,1,350,0.005596065521240234,0.0007994890550736199,0.002399158477783203,0.002331365356331919,10,5,linear,,"{'C': 10, 'degree': 5, 'kernel': 'linear'}",0.9714285714285714,0.9714285714285714,0.927536231884058,0.9130434782608695,0.9130434782608695,0.939296066252588,0.02676447733347433,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
